entity_id,entity_type,display_name,is_exogenous,summary_quality,merged_source_count
protein.A5A616,protein,mgtS (A5A616 #3),false,informative,1
protein.O32583,protein,thiS (O32583 #3),false,informative,1
protein.P00350,protein,gnd (P00350 #3),false,informative,1
protein.P00363,protein,frdA (P00363 #3),false,informative,1
protein.P00370,protein,gdhA (P00370 #3),false,informative,1
protein.P00393,protein,ndh (P00393 #3),false,informative,1
protein.P00448,protein,sodA (P00448 #3),false,informative,1
protein.P00452,protein,nrdA (P00452 #3),false,informative,1
protein.P00490,protein,malP (P00490 #3),false,informative,1
protein.P00509,protein,aspC (P00509 #3),false,informative,1
protein.P00550,protein,mtlA (P00550 #3),false,informative,1
protein.P00561,protein,thrA (P00561 #3),false,informative,1
protein.P00562,protein,metL (P00562 #3),false,informative,1
protein.P00579,protein,rpoD (P00579 #3),false,informative,1
protein.P00582,protein,polA (P00582 #3),false,informative,1
protein.P00634,protein,phoA (P00634 #3),false,informative,1
protein.P00722,protein,lacZ (P00722 #3),false,informative,1
protein.P00803,protein,lepB (P00803 #3),false,informative,1
protein.P00804,protein,lspA (P00804 #3),false,informative,1
protein.P00805,protein,ansB (P00805 #3),false,informative,1
protein.P00811,protein,ampC (P00811 #3),false,informative,1
protein.P00861,protein,lysA (P00861 #3),false,informative,1
protein.P00864,protein,ppc (P00864 #3),false,informative,1
protein.P00888,protein,aroF (P00888 #3),false,informative,1
protein.P00893,protein,ilvI (P00893 #3),false,informative,1
protein.P00894,protein,ilvH (P00894 #3),false,informative,1
protein.P00903,protein,pabA (P00903 #3),false,informative,1
protein.P00904,protein,trpGD,false,informative,1
protein.P00914,protein,phrB,false,informative,1
protein.P00926,protein,dsdA (P00926 #3),false,informative,1
protein.P00935,protein,metB (P00935 #3),false,informative,1
protein.P00936,protein,cyaA (P00936 #3),false,informative,1
protein.P00946,protein,manA (P00946 #3),false,informative,1
protein.P00956,protein,ileS (P00956 #3),false,informative,1
protein.P00957,protein,alaS (P00957 #3),false,informative,1
