old_entity_id,canonical_entity_id,family_key,reason,confidence
molecule.ecocyc.nu-Carrageenan,molecule.ecocyc.mu-Carrageenan,sm:name:carrageenan,same family_key via deterministic merge,high
molecule.ecocyc.4beta-Methyl-3-Oxosteroids,molecule.ecocyc.4alpha-Methyl-3-Oxosteroids,sm:name:a 4 methyl 3 oxosteroid,same family_key via deterministic merge,high
molecule.ecocyc.beta-Acetylgalactosaminides,molecule.ecocyc.Alpha-Acetylgalactosaminides,sm:name:an n acetyl d galactosaminide,same family_key via deterministic merge,high
molecule.ecocyc.N-Alpha-Acetylated-Amino-Acids,molecule.ecocyc.N-Acetylated-Amino-Acids,sm:name:an n acetylated amino acid,same family_key via deterministic merge,high
molecule.ecocyc.Gamma-linolenoyl-groups,molecule.ecocyc.Alpha-linolenoyl-groups,sm:name:a glycerolipid linolenate,same family_key via deterministic merge,high
molecule.ecocyc.Peptides,molecule.ecocyc.Peptide-Group,sm:name:a peptide,same family_key via deterministic merge,high
molecule.ecocyc.beta-Carrageenan,molecule.ecocyc.alpha-Carrageenan,sm:name:carrageenose,same family_key via deterministic merge,high
molecule.ecocyc.theta-Carrageenan,molecule.ecocyc.alpha-Carrageenan,sm:name:carrageenose,same family_key via deterministic merge,high
molecule.ecocyc.CPD-427,molecule.ecocyc.CPD-21081,sm:name:an n acyl l glutamine,same family_key via deterministic merge,high
molecule.ecocyc.3-alpha-Hydroxysteroids,molecule.ecocyc.3-Beta-Hydroxysterols,sm:name:a 3 hydroxysteroid,same family_key via deterministic merge,high
molecule.ecocyc.L-Ribulofuranose,molecule.ecocyc.CPD-24938,sm:name:l ribulofuranose,same family_key via deterministic merge,high
molecule.ecocyc.CPD-24959,molecule.ecocyc.CPD-24938,sm:name:l ribulofuranose,same family_key via deterministic merge,high
molecule.ecocyc.CPD0-2728,molecule.ecocyc.23S-rRNA-uridine2449,sm:name:uridine2449 in 23s rrna,same family_key via deterministic merge,high
molecule.ecocyc.Protein-N-omega-dimethyl-arginine,molecule.ecocyc.Protein-N-Nprime-omega-dimethyl-arginine,sm:name:a protein n n dimethyl l arginine,same family_key via deterministic merge,high
molecule.ecocyc.1-6-beta-D-Glucan,molecule.ecocyc.1-6-alpha-D-glucan,sm:name:a 1 6 d glucan,same family_key via deterministic merge,high
molecule.ecocyc.D-idopyranuronate,molecule.ecocyc.CPD-21252,sm:name:d idopyranuronate,same family_key via deterministic merge,high
molecule.ecocyc.CPD-21253,molecule.ecocyc.CPD-21252,sm:name:d idopyranuronate,same family_key via deterministic merge,high
molecule.ecocyc.Upper-case-I-antigens,molecule.ecocyc.Lower-case-i-Antigens,sm:name:an i antigen,same family_key via deterministic merge,high
molecule.ecocyc.N-Acetyl-alpha-D-Hexosaminides,molecule.ecocyc.N-Acetyl-D-Hexosaminides,sm:name:an n acetyl d hexosaminide,same family_key via deterministic merge,high
molecule.ecocyc.N-Acetyl-beta-D-Hexosaminides,molecule.ecocyc.N-Acetyl-D-Hexosaminides,sm:name:an n acetyl d hexosaminide,same family_key via deterministic merge,high
molecule.ecocyc.Carotenoid-epsilon-end-group,molecule.ecocyc.Carotenoid-beta-end-group,sm:name:a carotenoid end group,same family_key via deterministic merge,high
