source_id,target_id,relation_type,direction,evidence,source_database,source_record_id,notes,reaction_id,reactants,products,ec_number,pathway
gene.b0201,rna.b0201,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0201,gene/rna share b-number b0201,,,,,
gene.b0202,rna.b0202,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0202,gene/rna share b-number b0202,,,,,
gene.b0203,rna.b0203,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0203,gene/rna share b-number b0203,,,,,
gene.b0204,rna.b0204,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0204,gene/rna share b-number b0204,,,,,
gene.b0205,rna.b0205,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0205,gene/rna share b-number b0205,,,,,
gene.b0206,rna.b0206,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0206,gene/rna share b-number b0206,,,,,
gene.b0216,rna.b0216,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0216,gene/rna share b-number b0216,,,,,
gene.b0244,rna.b0244,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0244,gene/rna share b-number b0244,,,,,
gene.b0455,rna.b0455,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0455,gene/rna share b-number b0455,,,,,
gene.b0536,rna.b0536,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0536,gene/rna share b-number b0536,,,,,
gene.b0664,rna.b0664,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0664,gene/rna share b-number b0664,,,,,
gene.b0665,rna.b0665,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0665,gene/rna share b-number b0665,,,,,
gene.b0666,rna.b0666,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0666,gene/rna share b-number b0666,,,,,
gene.b0668,rna.b0668,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0668,gene/rna share b-number b0668,,,,,
gene.b0670,rna.b0670,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0670,gene/rna share b-number b0670,,,,,
gene.b0672,rna.b0672,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0672,gene/rna share b-number b0672,,,,,
gene.b0673,rna.b0673,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0673,gene/rna share b-number b0673,,,,,
gene.b0743,rna.b0743,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0743,gene/rna share b-number b0743,,,,,
gene.b0744,rna.b0744,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0744,gene/rna share b-number b0744,,,,,
gene.b0745,rna.b0745,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0745,gene/rna share b-number b0745,,,,,
gene.b0746,rna.b0746,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0746,gene/rna share b-number b0746,,,,,
gene.b0747,rna.b0747,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0747,gene/rna share b-number b0747,,,,,
gene.b0748,rna.b0748,transcribed_as,directed,b-number co-location,internal_alignment,bnum:b0748,gene/rna share b-number b0748,,,,,
