source_id,relation_type,target_id,direction,evidence,source_database,source_record_id,notes
gene.b0286,encodes,protein.P77165,directed,database,EcoCyc,G6157,EcoCyc gene PRODUCT
gene.b2650,encodes,protein.P76613,directed,database,EcoCyc,G7385,EcoCyc gene PRODUCT
gene.b1929,encodes,protein.P31064,directed,database,EcoCyc,EG11660,EcoCyc gene PRODUCT
gene.b3216,encodes,protein.P45420,directed,database,EcoCyc,G7670,EcoCyc gene PRODUCT
gene.b2616,encodes,protein.P05824,directed,database,EcoCyc,EG10831,EcoCyc gene PRODUCT
gene.b0786,encodes,protein.P0AAC4,directed,database,EcoCyc,G6403,EcoCyc gene PRODUCT
gene.b2383,encodes,protein.P77439,directed,database,EcoCyc,G7246,EcoCyc gene PRODUCT
gene.b0115,encodes,protein.P06959,directed,database,EcoCyc,EG10025,EcoCyc gene PRODUCT
gene.b4151,encodes,protein.P0A8Q3,directed,database,EcoCyc,EG10333,EcoCyc gene PRODUCT
gene.b4051,encodes,protein.P28304,directed,database,EcoCyc,EG11492,EcoCyc gene PRODUCT
gene.b0129,encodes,protein.P36881,directed,database,EcoCyc,EG12322,EcoCyc gene PRODUCT
gene.b0192,encodes,protein.P40710,directed,database,EcoCyc,EG12137,EcoCyc gene PRODUCT
gene.b1064,encodes,protein.P0AC59,directed,database,EcoCyc,EG12688,EcoCyc gene PRODUCT
gene.b0176,encodes,protein.P0AEH1,directed,database,EcoCyc,EG12436,EcoCyc gene PRODUCT
gene.b1279,encodes,protein.P0ACV4,directed,database,EcoCyc,G6637,EcoCyc gene PRODUCT
gene.b0991,encodes,protein.P0AAA5,directed,database,EcoCyc,G6512,EcoCyc gene PRODUCT
gene.b2776,encodes,protein.P55138,directed,database,EcoCyc,G7442,EcoCyc gene PRODUCT
gene.b3214,encodes,protein.P28721,directed,database,EcoCyc,EG11514,EcoCyc gene PRODUCT
gene.b4455,encodes,protein.P37305,directed,database,EcoCyc,G0-9613,EcoCyc gene PRODUCT
gene.b1233,encodes,protein.P37052,directed,database,EcoCyc,EG12119,EcoCyc gene PRODUCT
gene.b1784,encodes,protein.P76235,directed,database,EcoCyc,G6970,EcoCyc gene PRODUCT
gene.b0582,encodes,protein.P0CF92,directed,database,EcoCyc,G6327,EcoCyc gene PRODUCT
gene.b1507,encodes,protein.P23874,directed,database,EcoCyc,EG10443,EcoCyc gene PRODUCT
gene.b2457,encodes,protein.P0ABF4,directed,database,EcoCyc,G7287,EcoCyc gene PRODUCT
gene.b1833,encodes,protein.P0AD03,directed,database,EcoCyc,G7006,EcoCyc gene PRODUCT
gene.b3744,encodes,protein.P00963,directed,database,EcoCyc,EG10091,EcoCyc gene PRODUCT
gene.b2765,encodes,protein.P65870,directed,database,EcoCyc,G7431,EcoCyc gene PRODUCT
gene.b0047,encodes,protein.P03819,directed,database,EcoCyc,EG10521,EcoCyc gene PRODUCT
gene.b3342,encodes,protein.P0A7S3,directed,database,EcoCyc,EG10911,EcoCyc gene PRODUCT
gene.b0242,encodes,protein.P0A7B5,directed,database,EcoCyc,EG10768,EcoCyc gene PRODUCT
gene.b1945,encodes,protein.P06974,directed,database,EcoCyc,EG10323,EcoCyc gene PRODUCT
gene.b4359,encodes,protein.P39401,directed,database,EcoCyc,EG12591,EcoCyc gene PRODUCT
gene.b1814,encodes,protein.P16095,directed,database,EcoCyc,EG10930,EcoCyc gene PRODUCT
gene.b0109,encodes,protein.P30011,directed,database,EcoCyc,EG11546,EcoCyc gene PRODUCT
gene.b0956,encodes,protein.P0A8N0,directed,database,EcoCyc,EG12855,EcoCyc gene PRODUCT
gene.b2997,encodes,protein.P69741,directed,database,EcoCyc,G7554,EcoCyc gene PRODUCT
gene.b1333,encodes,protein.P0AAC0,directed,database,EcoCyc,EG11246,EcoCyc gene PRODUCT
gene.b3421,encodes,protein.P46850,directed,database,EcoCyc,G7751,EcoCyc gene PRODUCT
gene.b4034,encodes,protein.P0AEX9,directed,database,EcoCyc,EG10554,EcoCyc gene PRODUCT
gene.b0269,encodes,protein.P77596,directed,database,EcoCyc,G6141,EcoCyc gene PRODUCT
gene.b3418,encodes,protein.P06993,directed,database,EcoCyc,EG10562,EcoCyc gene PRODUCT
gene.b2395,encodes,protein.P23842,directed,database,EcoCyc,EG11145,EcoCyc gene PRODUCT
gene.b3252,encodes,protein.P13518,directed,database,EcoCyc,EG10018,EcoCyc gene PRODUCT
gene.b0678,encodes,protein.P0A759,directed,database,EcoCyc,EG10633,EcoCyc gene PRODUCT
gene.b4469,encodes,protein.Q46861,directed,database,EcoCyc,G7568,EcoCyc gene PRODUCT
gene.b4311,encodes,protein.P69856,directed,database,EcoCyc,G7921,EcoCyc gene PRODUCT
gene.b3354,encodes,protein.P67624,directed,database,EcoCyc,G7719,EcoCyc gene PRODUCT
gene.b3181,encodes,protein.P0A6W5,directed,database,EcoCyc,EG10415,EcoCyc gene PRODUCT
gene.b0967,encodes,protein.P75876,directed,database,EcoCyc,G6501,EcoCyc gene PRODUCT
gene.b0556,encodes,protein.P75719,directed,database,EcoCyc,G6311,EcoCyc gene PRODUCT
gene.b3651,encodes,protein.P0AGJ2,directed,database,EcoCyc,EG10967,EcoCyc gene PRODUCT
gene.b3512,encodes,protein.P63204,directed,database,EcoCyc,EG11544,EcoCyc gene PRODUCT
gene.b3941,encodes,protein.P0AEZ1,directed,database,EcoCyc,EG10585,EcoCyc gene PRODUCT
gene.b2136,encodes,protein.P33366,directed,database,EcoCyc,EG12017,EcoCyc gene PRODUCT
gene.b1166,encodes,protein.P75993,directed,database,EcoCyc,G6606,EcoCyc gene PRODUCT
gene.b4428,encodes,protein.P77494,directed,database,EcoCyc,G0-9610,EcoCyc gene PRODUCT
gene.b2789,encodes,protein.Q46916,directed,database,EcoCyc,G7447,EcoCyc gene PRODUCT
gene.b2124,encodes,protein.P33355,directed,database,EcoCyc,EG12005,EcoCyc gene PRODUCT
gene.b3606,encodes,protein.P0AGJ7,directed,database,EcoCyc,EG11888,EcoCyc gene PRODUCT
gene.b1708,encodes,protein.P23898,directed,database,EcoCyc,EG11133,EcoCyc gene PRODUCT
gene.b4175,encodes,protein.P0ABC3,directed,database,EcoCyc,EG10435,EcoCyc gene PRODUCT
gene.b2638,encodes,protein.P0CF86,directed,database,EcoCyc,G7373,EcoCyc gene PRODUCT
gene.b3935,encodes,protein.P17888,directed,database,EcoCyc,EG10763,EcoCyc gene PRODUCT
gene.b2271,encodes,protein.P76482,directed,database,EcoCyc,G7178,EcoCyc gene PRODUCT
gene.b1090,encodes,protein.P27247,directed,database,EcoCyc,EG11437,EcoCyc gene PRODUCT
gene.b1897,encodes,protein.P31678,directed,database,EcoCyc,EG11752,EcoCyc gene PRODUCT
gene.b4056,encodes,protein.P0AF48,directed,database,EcoCyc,EG11935,EcoCyc gene PRODUCT
gene.b1554,encodes,protein.P76159,directed,database,EcoCyc,G6827,EcoCyc gene PRODUCT
gene.b0285,encodes,protein.P77324,directed,database,EcoCyc,G6156,EcoCyc gene PRODUCT
gene.b0568,encodes,protein.P31600,directed,database,EcoCyc,EG11740,EcoCyc gene PRODUCT
gene.b3312,encodes,protein.P0A7M6,directed,database,EcoCyc,EG10887,EcoCyc gene PRODUCT
gene.b0155,encodes,protein.P37019,directed,database,EcoCyc,EG12331,EcoCyc gene PRODUCT
gene.b0197,encodes,protein.P28635,directed,database,EcoCyc,EG11504,EcoCyc gene PRODUCT
gene.b3960,encodes,protein.P11447,directed,database,EcoCyc,EG11223,EcoCyc gene PRODUCT
gene.b3020,encodes,protein.Q46863,directed,database,EcoCyc,G7570,EcoCyc gene PRODUCT
gene.b2407,encodes,protein.P45563,directed,database,EcoCyc,G85,EcoCyc gene PRODUCT
gene.b4266,encodes,protein.P0A9P9,directed,database,EcoCyc,G7892,EcoCyc gene PRODUCT
gene.b4066,encodes,protein.P32704,directed,database,EcoCyc,EG11941,EcoCyc gene PRODUCT
gene.b3355,encodes,protein.P0AEX5,directed,database,EcoCyc,EG12365,EcoCyc gene PRODUCT
gene.b2151,encodes,protein.P25748,directed,database,EcoCyc,EG10365,EcoCyc gene PRODUCT
gene.b1484,encodes,protein.P77268,directed,database,EcoCyc,G6778,EcoCyc gene PRODUCT
gene.b3609,encodes,protein.P0AG86,directed,database,EcoCyc,EG10937,EcoCyc gene PRODUCT
gene.b2248,encodes,protein.P77732,directed,database,EcoCyc,G7161,EcoCyc gene PRODUCT
gene.b3735,encodes,protein.P0ABA4,directed,database,EcoCyc,EG10105,EcoCyc gene PRODUCT
gene.b1676,encodes,protein.P0AD61,directed,database,EcoCyc,EG10804,EcoCyc gene PRODUCT
gene.b4332,encodes,protein.P39381,directed,database,EcoCyc,G7929,EcoCyc gene PRODUCT
gene.b2524,encodes,protein.P0C0L9,directed,database,EcoCyc,EG12311,EcoCyc gene PRODUCT
gene.b3271,encodes,protein.P45769,directed,database,EcoCyc,EG12837,EcoCyc gene PRODUCT
gene.b3403,encodes,protein.P22259,directed,database,EcoCyc,EG10688,EcoCyc gene PRODUCT
gene.b2285,encodes,protein.P0AFD1,directed,database,EcoCyc,EG12086,EcoCyc gene PRODUCT
gene.b4154,encodes,protein.P00363,directed,database,EcoCyc,EG10330,EcoCyc gene PRODUCT
gene.b1792,encodes,protein.P76243,directed,database,EcoCyc,G6978,EcoCyc gene PRODUCT
gene.b0227,encodes,protein.Q47151,directed,database,EcoCyc,G6111,EcoCyc gene PRODUCT
gene.b3784,encodes,protein.P0AC78,directed,database,EcoCyc,EG10840,EcoCyc gene PRODUCT
gene.b1683,encodes,protein.P77522,directed,database,EcoCyc,G6909,EcoCyc gene PRODUCT
gene.b3468,encodes,protein.P0ADI9,directed,database,EcoCyc,EG12214,EcoCyc gene PRODUCT
gene.b0364,encodes,protein.P71311,directed,database,EcoCyc,G6216,EcoCyc gene PRODUCT
gene.b1541,encodes,protein.P64463,directed,database,EcoCyc,G6815,EcoCyc gene PRODUCT
gene.b4117,encodes,protein.P28629,directed,database,EcoCyc,EG11501,EcoCyc gene PRODUCT
gene.b0686,encodes,protein.P75736,directed,database,EcoCyc,EG11776,EcoCyc gene PRODUCT
gene.b4377,encodes,protein.P39407,directed,database,EcoCyc,G7951,EcoCyc gene PRODUCT
gene.b0595,encodes,protein.P0ADI4,directed,database,EcoCyc,EG10260,EcoCyc gene PRODUCT
gene.b1894,encodes,protein.P0CF11,directed,database,EcoCyc,G7030,EcoCyc gene PRODUCT
gene.b0161,encodes,protein.P0C0V0,directed,database,EcoCyc,EG10463,EcoCyc gene PRODUCT
gene.b2072,encodes,protein.P76395,directed,database,EcoCyc,G7111,EcoCyc gene PRODUCT
gene.b2504,encodes,protein.P64545,directed,database,EcoCyc,G7315,EcoCyc gene PRODUCT
gene.b1793,encodes,protein.P64493,directed,database,EcoCyc,G6979,EcoCyc gene PRODUCT
gene.b2687,encodes,protein.P45578,directed,database,EcoCyc,EG12712,EcoCyc gene PRODUCT
gene.b4722,encodes,protein.P0DPC6,directed,database,EcoCyc,G0-16685,EcoCyc gene PRODUCT
gene.b0531,encodes,protein.P77249,directed,database,EcoCyc,G6291,EcoCyc gene PRODUCT
gene.b1413,encodes,protein.P43329,directed,database,EcoCyc,G6732,EcoCyc gene PRODUCT
gene.b3417,encodes,protein.P00490,directed,database,EcoCyc,EG10560,EcoCyc gene PRODUCT
gene.b3998,encodes,protein.P68739,directed,database,EcoCyc,EG11915,EcoCyc gene PRODUCT
gene.b3849,encodes,protein.P0AFZ7,directed,database,EcoCyc,EG11021,EcoCyc gene PRODUCT
gene.b1993,encodes,protein.P0AE76,directed,database,EcoCyc,EG13238,EcoCyc gene PRODUCT
gene.b0336,encodes,protein.P0AA82,directed,database,EcoCyc,EG11327,EcoCyc gene PRODUCT
gene.b3708,encodes,protein.P0A853,directed,database,EcoCyc,EG11005,EcoCyc gene PRODUCT
gene.b1593,encodes,protein.P0A6E9,directed,database,EcoCyc,G6851,EcoCyc gene PRODUCT
