ecocyc_id,entity_id,entity_type,mapping_method,source_file
G6157,gene.b0286,gene,ACCESSION-1,genes.dat
G7385,gene.b2650,gene,ACCESSION-1,genes.dat
EG11660,gene.b1929,gene,ACCESSION-1,genes.dat
G7670,gene.b3216,gene,ACCESSION-1,genes.dat
EG10831,gene.b2616,gene,ACCESSION-1,genes.dat
G6403,gene.b0786,gene,ACCESSION-1,genes.dat
G7246,gene.b2383,gene,ACCESSION-1,genes.dat
EG10025,gene.b0115,gene,ACCESSION-1,genes.dat
EG10333,gene.b4151,gene,ACCESSION-1,genes.dat
EG11492,gene.b4051,gene,ACCESSION-1,genes.dat
EG12322,gene.b0129,gene,ACCESSION-1,genes.dat
EG12137,gene.b0192,gene,ACCESSION-1,genes.dat
G0-10610,gene.b4625,gene,ACCESSION-1,genes.dat
EG12688,gene.b1064,gene,ACCESSION-1,genes.dat
EG12436,gene.b0176,gene,ACCESSION-1,genes.dat
G6637,gene.b1279,gene,ACCESSION-1,genes.dat
G6512,gene.b0991,gene,ACCESSION-1,genes.dat
G7442,gene.b2776,gene,ACCESSION-1,genes.dat
EG11514,gene.b3214,gene,ACCESSION-1,genes.dat
G0-9613,gene.b4455,gene,ACCESSION-1,genes.dat
EG12119,gene.b1233,gene,ACCESSION-1,genes.dat
G6970,gene.b1784,gene,ACCESSION-1,genes.dat
G6327,gene.b0582,gene,ACCESSION-1,genes.dat
EG10443,gene.b1507,gene,ACCESSION-1,genes.dat
G7287,gene.b2457,gene,ACCESSION-1,genes.dat
G7006,gene.b1833,gene,ACCESSION-1,genes.dat
EG10091,gene.b3744,gene,ACCESSION-1,genes.dat
G7431,gene.b2765,gene,ACCESSION-1,genes.dat
G0-16636,gene.b4759,gene,ACCESSION-1,genes.dat
EG10521,gene.b0047,gene,ACCESSION-1,genes.dat
EG10911,gene.b3342,gene,ACCESSION-1,genes.dat
EG10768,gene.b0242,gene,ACCESSION-1,genes.dat
EG10323,gene.b1945,gene,ACCESSION-1,genes.dat
EG12591,gene.b4359,gene,ACCESSION-1,genes.dat
EG10930,gene.b1814,gene,ACCESSION-1,genes.dat
EG11546,gene.b0109,gene,ACCESSION-1,genes.dat
EG12855,gene.b0956,gene,ACCESSION-1,genes.dat
G7554,gene.b2997,gene,ACCESSION-1,genes.dat
EG11246,gene.b1333,gene,ACCESSION-1,genes.dat
G7751,gene.b3421,gene,ACCESSION-1,genes.dat
EG10554,gene.b4034,gene,ACCESSION-1,genes.dat
G6141,gene.b0269,gene,ACCESSION-1,genes.dat
EG10562,gene.b3418,gene,ACCESSION-1,genes.dat
EG11145,gene.b2395,gene,ACCESSION-1,genes.dat
EG10018,gene.b3252,gene,ACCESSION-1,genes.dat
EG10633,gene.b0678,gene,ACCESSION-1,genes.dat
G7568,gene.b4469,gene,ACCESSION-1,genes.dat
G7921,gene.b4311,gene,ACCESSION-1,genes.dat
G7719,gene.b3354,gene,ACCESSION-1,genes.dat
EG10415,gene.b3181,gene,ACCESSION-1,genes.dat
G6501,gene.b0967,gene,ACCESSION-1,genes.dat
G6311,gene.b0556,gene,ACCESSION-1,genes.dat
EG10967,gene.b3651,gene,ACCESSION-1,genes.dat
EG11544,gene.b3512,gene,ACCESSION-1,genes.dat
EG10585,gene.b3941,gene,ACCESSION-1,genes.dat
EG12017,gene.b2136,gene,ACCESSION-1,genes.dat
G6606,gene.b1166,gene,ACCESSION-1,genes.dat
G0-9610,gene.b4428,gene,ACCESSION-1,genes.dat
G7447,gene.b2789,gene,ACCESSION-1,genes.dat
EG12005,gene.b2124,gene,ACCESSION-1,genes.dat
EG11888,gene.b3606,gene,ACCESSION-1,genes.dat
EG11133,gene.b1708,gene,ACCESSION-1,genes.dat
EG10435,gene.b4175,gene,ACCESSION-1,genes.dat
EG30011,gene.b2397,gene,ACCESSION-1,genes.dat
G7373,gene.b2638,gene,ACCESSION-1,genes.dat
EG10763,gene.b3935,gene,ACCESSION-1,genes.dat
G7178,gene.b2271,gene,ACCESSION-1,genes.dat
EG11437,gene.b1090,gene,ACCESSION-1,genes.dat
EG11752,gene.b1897,gene,ACCESSION-1,genes.dat
EG11935,gene.b4056,gene,ACCESSION-1,genes.dat
G6827,gene.b1554,gene,ACCESSION-1,genes.dat
G6156,gene.b0285,gene,ACCESSION-1,genes.dat
EG11740,gene.b0568,gene,ACCESSION-1,genes.dat
EG10887,gene.b3312,gene,ACCESSION-1,genes.dat
EG12331,gene.b0155,gene,ACCESSION-1,genes.dat
EG11504,gene.b0197,gene,ACCESSION-1,genes.dat
EG11223,gene.b3960,gene,ACCESSION-1,genes.dat
EG30079,gene.b3758,gene,ACCESSION-1,genes.dat
G7570,gene.b3020,gene,ACCESSION-1,genes.dat
G85,gene.b2407,gene,ACCESSION-1,genes.dat
G7892,gene.b4266,gene,ACCESSION-1,genes.dat
EG11941,gene.b4066,gene,ACCESSION-1,genes.dat
EG12365,gene.b3355,gene,ACCESSION-1,genes.dat
EG10365,gene.b2151,gene,ACCESSION-1,genes.dat
G6778,gene.b1484,gene,ACCESSION-1,genes.dat
EG10937,gene.b3609,gene,ACCESSION-1,genes.dat
G7161,gene.b2248,gene,ACCESSION-1,genes.dat
EG10105,gene.b3735,gene,ACCESSION-1,genes.dat
EG10804,gene.b1676,gene,ACCESSION-1,genes.dat
G7929,gene.b4332,gene,ACCESSION-1,genes.dat
EG12311,gene.b2524,gene,ACCESSION-1,genes.dat
EG12837,gene.b3271,gene,ACCESSION-1,genes.dat
EG10688,gene.b3403,gene,ACCESSION-1,genes.dat
EG12086,gene.b2285,gene,ACCESSION-1,genes.dat
G0-8883,gene.b4433,gene,ACCESSION-1,genes.dat
EG10330,gene.b4154,gene,ACCESSION-1,genes.dat
G6978,gene.b1792,gene,ACCESSION-1,genes.dat
G6111,gene.b0227,gene,ACCESSION-1,genes.dat
EG10840,gene.b3784,gene,ACCESSION-1,genes.dat
G6909,gene.b1683,gene,ACCESSION-1,genes.dat
EG12214,gene.b3468,gene,ACCESSION-1,genes.dat
G6216,gene.b0364,gene,ACCESSION-1,genes.dat
G6815,gene.b1541,gene,ACCESSION-1,genes.dat
EG11501,gene.b4117,gene,ACCESSION-1,genes.dat
EG11776,gene.b0686,gene,ACCESSION-1,genes.dat
G7951,gene.b4377,gene,ACCESSION-1,genes.dat
EG10260,gene.b0595,gene,ACCESSION-1,genes.dat
G7030,gene.b1894,gene,ACCESSION-1,genes.dat
EG10463,gene.b0161,gene,ACCESSION-1,genes.dat
G7111,gene.b2072,gene,ACCESSION-1,genes.dat
G7315,gene.b2504,gene,ACCESSION-1,genes.dat
G6979,gene.b1793,gene,ACCESSION-1,genes.dat
EG12712,gene.b2687,gene,ACCESSION-1,genes.dat
G0-16685,gene.b4722,gene,ACCESSION-1,genes.dat
G6291,gene.b0531,gene,ACCESSION-1,genes.dat
G6732,gene.b1413,gene,ACCESSION-1,genes.dat
EG10560,gene.b3417,gene,ACCESSION-1,genes.dat
EG11915,gene.b3998,gene,ACCESSION-1,genes.dat
EG11021,gene.b3849,gene,ACCESSION-1,genes.dat
EG13238,gene.b1993,gene,ACCESSION-1,genes.dat
EG11327,gene.b0336,gene,ACCESSION-1,genes.dat
EG11005,gene.b3708,gene,ACCESSION-1,genes.dat
G6851,gene.b1593,gene,ACCESSION-1,genes.dat
EG11135,gene.b1768,gene,ACCESSION-1,genes.dat
G6480,gene.b0938,gene,ACCESSION-1,genes.dat
G7200,gene.b2325,gene,ACCESSION-1,genes.dat
G6625,gene.b1196,gene,ACCESSION-1,genes.dat
G7263,gene.b2428,gene,ACCESSION-1,genes.dat
EG10731,gene.b1130,gene,ACCESSION-1,genes.dat
EG12870,gene.b1322,gene,ACCESSION-1,genes.dat
