entity_id,entity_type,name,aliases,default_state,allowed_states,annotation,pathways,subcellular_location,source_database,source_id,external_ids,is_external,is_exogenous,family_key,display_name,merged_from,complex_type,is_virtual,components,critical_components,assembly_condition,notes
molecule.C01153,small_molecule,Orthophosphoric monoester,Orthophosphoric monoester; Phosphate monoester,low,absent|low|medium|high,KEGG compound: Orthophosphoric monoester; Phosphate monoester,,,KEGG,C01153,KEGG:C01153,false,true,sm:kegg:c01153,Orthophosphoric monoester,molecule.C01153,,,,,,Included because it appears in at least one E. coli KEGG pathway.
molecule.ecocyc.Carbohydrate-acid-derivatives,small_molecule,a carbohydrate acid derivative,,low,absent|low|medium|high,EcoCyc compound Carbohydrate-acid-derivatives,,,EcoCyc,Carbohydrate-acid-derivatives,EcoCyc:Carbohydrate-acid-derivatives,false,true,sm:name:a carbohydrate acid derivative,a carbohydrate acid derivative,molecule.ecocyc.Carbohydrate-acid-derivatives,,,,,,
molecule.ecocyc.NUCLEOTIDE-SUGARS,small_molecule,a nucleotide sugar,,low,absent|low|medium|high,EcoCyc compound NUCLEOTIDE-SUGARS,,,EcoCyc,NUCLEOTIDE-SUGARS,EcoCyc:NUCLEOTIDE-SUGARS,false,true,sm:name:a nucleotide sugar,a nucleotide sugar,molecule.ecocyc.NUCLEOTIDE-SUGARS,,,,,,
molecule.ecocyc.Glycosides,small_molecule,a glycoside,,low,absent|low|medium|high,"A glycoside is any molecule in which a sugar group is bonded through its anomeric carbon to a non-acyl group via a glycosidic bond. Glycosides can be linked by a C-O bond (an O-glycoside), C-N bond (a glycosylamine), C-S bond (a thioglycoside) or a C-C bond (a C-glycoside). When the sugar is bound to a non-carbohydrate moiety, the sugar group is known as the glycone and the non-sugar group as the aglycone or genin part of the glycoside.",,,EcoCyc,Glycosides,EcoCyc:Glycosides|HMDB:HMDB31448|CHEBI:24400|METANETX:MNXM55409,false,true,sm:chebi:24400,a glycoside,molecule.ecocyc.Glycosides,,,,,,
molecule.ecocyc.Pyrimidines,small_molecule,a pyrimidine,a pyrimidine-related compound,low,absent|low|medium|high,"PYRIMIDINE-RING Pyrimidine is a heterocyclic aromatic compound similar to benzene, containing two nitrogen atoms at positions 1 and 3 of the ring. The name pyrimidines is also used for compounds derived from the basic pyrimidine compound, including Pyrimidine-Bases ""three of the bases"" found in nucleic acids, namely CYTOSINE, THYMINE, and URACIL. This class stands for all compounds that have a pyrimidine as part of their structure.",,,EcoCyc,Pyrimidines,EcoCyc:Pyrimidines|CHEBI:39447,false,true,sm:chebi:39447,a pyrimidine,molecule.ecocyc.Pyrimidines,,,,,,
molecule.ecocyc.Pyrimidine-Ribonucleosides,small_molecule,a pyrimidine ribonucleoside,an N-D-ribosylpyrimidine,low,absent|low|medium|high,"Nucleosides are glycosylamines consisting of Bases bound to a CPD0-1110 ribose or 2-DEOXYRIBOSE sugar via a β-glycosidic linkage. The nucleosides are called Ribonucleosides ribonucleosides when the sugar is CPD0-1110 ribose, and Deoxy-Ribonucleosides deoxyribonucleosides when it is 2-DEOXYRIBOSE. Common Ribonucleosides ribonucleosides include CYTIDINE, URIDINE, ADENOSINE, GUANOSINE and INOSINE. Examples of Deoxy-Ribonucleosides deoxyribonucleosides include THYMIDINE and DEOXYADENOSINE. When nucleosides are phosphorylated on the sugar's primary alcohol group, the resulting phosphonucleosides are called Nucleotides nucleotides. Pyrimidine is a heterocyclic aromatic compound similar to benzene, containing two nitrogen atoms at positions 1 and 3 of the ring. The name pyrimidines is also used for compounds derived from the basic pyrimidine compound, including three of the nucleosides found in nucleic acids, namely CYTIDINE, THYMIDINE, and URIDINE.",,,EcoCyc,Pyrimidine-Ribonucleosides,EcoCyc:Pyrimidine-Ribonucleosides|CHEBI:39446,false,true,sm:chebi:39446,a pyrimidine ribonucleoside,molecule.ecocyc.Pyrimidine-Ribonucleosides,,,,,,
molecule.ecocyc.N-Acetylated-Amino-Acids,small_molecule,an N-acetylated amino acid,an Nα-acetylated amino acid,low,absent|low|medium|high,EcoCyc compound N-Alpha-Acetylated-Amino-Acids,,,EcoCyc,N-Acetylated-Amino-Acids,EcoCyc:N-Alpha-Acetylated-Amino-Acids|EcoCyc:N-Acetylated-Amino-Acids,false,true,sm:name:an n acetylated amino acid,an N-acetylated amino acid,molecule.ecocyc.N-Acetylated-Amino-Acids|molecule.ecocyc.N-Alpha-Acetylated-Amino-Acids,,,,,,
molecule.ecocyc.Alpha-NAD-P-H,small_molecule,α-NAD(P)H,,low,absent|low|medium|high,"α-NAD(P)H is a class of compounds including the instances α-NADH and α-NADPH. They should not be confused with the common electron carriers known simply as NAD(P)H, whose full name is β-NAD(P)H. The compounds differ in the stereo configuration of the bond between the ribose and the nicotinamide base, which points up in α-NAD(P)H and down in β-NAD(P)H.",,,EcoCyc,Alpha-NAD-P-H,EcoCyc:Alpha-NAD-P-H,false,true,sm:name:nad p h,α-NAD(P)H,molecule.ecocyc.Alpha-NAD-P-H,,,,,,
molecule.ecocyc.Cyclic-Peptides,small_molecule,a cyclic peptide,,low,absent|low|medium|high,EcoCyc compound Cyclic-Peptides,,,EcoCyc,Cyclic-Peptides,EcoCyc:Cyclic-Peptides,false,true,sm:name:a cyclic peptide,a cyclic peptide,molecule.ecocyc.Cyclic-Peptides,,,,,,
molecule.ecocyc.Indole-Containing-Compounds,small_molecule,an indole-containing compound,,low,absent|low|medium|high,EcoCyc compound Indole-Containing-Compounds,,,EcoCyc,Indole-Containing-Compounds,EcoCyc:Indole-Containing-Compounds,false,true,sm:name:an indole containing compound,an indole-containing compound,molecule.ecocyc.Indole-Containing-Compounds,,,,,,
