source_id,relation_type,target_id,direction,evidence,source_database,source_record_id,notes
gene.b1574,represses,gene.b0095,directed,S,RegulonDB,RDBECOLIPDC00328,regulator=DicF; target=ftsZ; function=-
gene.b1574,represses,gene.b1817,directed,S,RegulonDB,RDBECOLIPDC00328,regulator=DicF; target=manX; function=-
gene.b1574,represses,gene.b1854,directed,S,RegulonDB,RDBECOLIPDC00328,regulator=DicF; target=pykA; function=-
gene.b1574,represses,gene.b3569,directed,S,RegulonDB,RDBECOLIPDC00328,regulator=DicF; target=xylR; function=-
gene.b1954,represses,gene.b1237,directed,S,RegulonDB,RDBECOLIPDC00358,regulator=DsrA; target=hns; function=-
gene.b1954,represses,gene.b0889,directed,S,RegulonDB,RDBECOLIPDC00358,regulator=DsrA; target=lrp; function=-
gene.b1954,represses,gene.b3749,directed,S,RegulonDB,RDBECOLIPDC00358,regulator=DsrA; target=rbsA; function=-
gene.b1954,represses,gene.b3751,directed,S,RegulonDB,RDBECOLIPDC00358,regulator=DsrA; target=rbsB; function=-
gene.b1954,represses,gene.b3750,directed,S,RegulonDB,RDBECOLIPDC00358,regulator=DsrA; target=rbsC; function=-
gene.b1954,represses,gene.b3748,directed,S,RegulonDB,RDBECOLIPDC00358,regulator=DsrA; target=rbsD; function=-
gene.b1954,represses,gene.b3752,directed,S,RegulonDB,RDBECOLIPDC00358,regulator=DsrA; target=rbsK; function=-
gene.b1954,represses,gene.b3753,directed,S,RegulonDB,RDBECOLIPDC00358,regulator=DsrA; target=rbsR; function=-
gene.b1954,represses,gene.b4804,directed,S,RegulonDB,RDBECOLIPDC00358,regulator=DsrA; target=rbsZ; function=-
protein.P0A6X3,represses,gene.b1817,directed,C,RegulonDB,RDBECOLIPDC00501,regulator=Hfq; target=manX; function=-
protein.P60723,represses,gene.b3708,directed,C,RegulonDB,RDBECOLIPDC00678,regulator=RplD; target=tnaA; function=-
protein.P0AA10,represses,gene.b3231,directed,S,RegulonDB,RDBECOLIPDC00685,regulator=RplM; target=rplM; function=-
protein.P0AA10,represses,gene.b3230,directed,S,RegulonDB,RDBECOLIPDC00685,regulator=RplM; target=rpsI; function=-
protein.P0A7L3,represses,gene.b1716,directed,S,RegulonDB,RDBECOLIPDC00692,regulator=RplT; target=rplT; function=-
protein.P0A7L3,represses,gene.b1717,directed,S,RegulonDB,RDBECOLIPDC00692,regulator=RplT; target=rpmI; function=-
protein.P68919,represses,gene.b2185,directed,S,RegulonDB,RDBECOLIPDC00696,regulator=RplY; target=rplY; function=-
protein.P0A7M9,represses,gene.b3936,directed,S,RegulonDB,RDBECOLIPDC00700,regulator=RpmE; target=rpmE; function=-
protein.P0AG67,activates,gene.b1818,directed,S,RegulonDB,RDBECOLIPDC00706,regulator=RpsA; target=manY; function=+
protein.P0AG67,represses,gene.b0911,directed,S,RegulonDB,RDBECOLIPDC00706,regulator=RpsA; target=rpsA; function=-
protein.P0A7W7,represses,gene.b3300,directed,S,RegulonDB,RDBECOLIPDC00713,regulator=RpsH; target=secY; function=-
protein.P0A7W7,represses,gene.b3308,directed,S,RegulonDB,RDBECOLIPDC00713,regulator=RpsH; target=rplE; function=-
protein.P0A7W7,represses,gene.b3305,directed,S,RegulonDB,RDBECOLIPDC00713,regulator=RpsH; target=rplF; function=-
protein.P0A7W7,represses,gene.b3310,directed,S,RegulonDB,RDBECOLIPDC00713,regulator=RpsH; target=rplN; function=-
protein.P0A7W7,represses,gene.b3301,directed,S,RegulonDB,RDBECOLIPDC00713,regulator=RpsH; target=rplO; function=-
