source_string_id,target_string_id,source_entity_ids,target_entity_ids,source_mapping_status,target_mapping_status,string_channel,channel_score,channel_score_norm,base_weight,edge_weight,combined_score,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining
511145.b0002,511145.b0004,protein.P00561,protein.P00934,unique,unique,coexpression,989,0.989,0.35,0.3461,999,810,0,726,989,146,0,926
511145.b0002,511145.b0003,protein.P00561,protein.P00547,unique,unique,coexpression,994,0.994,0.35,0.3479,999,810,0,762,994,111,900,930
511145.b0003,511145.b0004,protein.P00547,protein.P00934,unique,unique,coexpression,999,0.999,0.35,0.3496,999,800,864,736,999,0,900,930
511145.b0003,511145.b0002,protein.P00547,protein.P00561,unique,unique,coexpression,994,0.994,0.35,0.3479,999,810,0,762,994,111,900,930
511145.b0004,511145.b0002,protein.P00934,protein.P00561,unique,unique,coexpression,989,0.989,0.35,0.3461,999,810,0,726,989,146,0,926
511145.b0004,511145.b0003,protein.P00934,protein.P00547,unique,unique,coexpression,999,0.999,0.35,0.3496,999,800,864,736,999,0,900,930
511145.b0014,511145.b4142,protein.P0A6Y8,protein.P0A6F9,unique,unique,coexpression,979,0.979,0.35,0.3426,999,76,0,217,979,190,0,977
511145.b0014,511145.b4143,protein.P0A6Y8,protein.P0A6F5,unique,unique,coexpression,992,0.992,0.35,0.3472,999,76,0,421,992,588,43,970
511145.b0014,511145.b0439,protein.P0A6Y8,protein.P0A9M0,unique,unique,coexpression,831,0.831,0.35,0.2908,959,66,0,0,831,53,0,758
511145.b0014,511145.b3931,protein.P0A6Y8,protein.P0A6H5,unique,unique,coexpression,910,0.910,0.35,0.3185,984,44,0,0,910,84,0,829
511145.b0014,511145.b3932,protein.P0A6Y8,protein.P0A7B8,unique,unique,coexpression,894,0.894,0.35,0.3129,980,52,0,0,894,0,0,823
511145.b0014,511145.b2614,protein.P0A6Y8,protein.P09372,unique,unique,coexpression,939,0.939,0.35,0.3286,999,84,0,733,939,997,49,999
511145.b0014,511145.b2592,protein.P0A6Y8,protein.P63284,unique,unique,coexpression,995,0.995,0.35,0.3483,999,62,0,0,995,999,0,983
511145.b0014,511145.b0473,protein.P0A6Y8,protein.P0A6Z3,unique,unique,coexpression,994,0.994,0.35,0.3479,999,0,5,0,994,855,309,948
511145.b0014,511145.b0015,protein.P0A6Y8,protein.P08622,unique,unique,coexpression,986,0.986,0.35,0.3451,999,568,297,770,986,999,227,999
511145.b0015,511145.b2614,protein.P08622,protein.P09372,unique,unique,coexpression,935,0.935,0.35,0.3272,999,158,0,650,935,559,0,999
511145.b0015,511145.b3931,protein.P08622,protein.P0A6H5,unique,unique,coexpression,955,0.955,0.35,0.3342,993,0,0,0,955,161,0,837
511145.b0015,511145.b3932,protein.P08622,protein.P0A7B8,unique,unique,coexpression,891,0.891,0.35,0.3118,977,0,0,0,891,0,0,799
511145.b0015,511145.b0014,protein.P08622,protein.P0A6Y8,unique,unique,coexpression,986,0.986,0.35,0.3451,999,568,297,770,986,999,227,999
