source_string_id,target_string_id,source_entity_ids,target_entity_ids,source_mapping_status,target_mapping_status,string_channel,channel_score,channel_score_norm,base_weight,edge_weight,combined_score,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining
511145.b0002,511145.b3829,protein.P00561,protein.P25665,unique,unique,database,800,0.800,0.75,0.6000,925,90,0,0,290,0,800,491
511145.b0002,511145.b3008,protein.P00561,protein.P06721,unique,unique,database,800,0.800,0.75,0.6000,901,195,1,152,83,0,800,332
511145.b0002,511145.b4244,protein.P00561,protein.P0A7F3,unique,unique,database,800,0.800,0.75,0.6000,809,49,0,0,80,0,800,0
511145.b0002,511145.b0674,protein.P00561,protein.P22106,unique,unique,database,800,0.800,0.75,0.6000,954,194,0,376,387,0,800,371
511145.b0002,511145.b4139,protein.P00561,protein.P0AC38,unique,unique,database,800,0.800,0.75,0.6000,865,63,0,0,0,0,800,341
511145.b0002,511145.b3433,protein.P00561,protein.P0A9Q9,unique,unique,database,900,0.900,0.75,0.6750,998,195,0,0,794,155,900,925
511145.b0002,511145.b1767,protein.P00561,protein.P0A962,unique,unique,database,800,0.800,0.75,0.6000,823,61,0,0,51,0,800,129
511145.b0002,511145.b3607,protein.P00561,protein.P0A9D4,unique,unique,database,800,0.800,0.75,0.6000,853,77,0,0,0,0,800,269
511145.b0002,511145.b4177,protein.P00561,protein.P0A7D4,unique,unique,database,800,0.800,0.75,0.6000,885,165,0,0,297,0,800,140
511145.b0002,511145.b2574,protein.P00561,protein.P10902,unique,unique,database,800,0.800,0.75,0.6000,831,93,0,0,46,0,800,141
511145.b0002,511145.b1814,protein.P00561,protein.P16095,unique,unique,database,800,0.800,0.75,0.6000,831,66,0,0,107,0,800,109
511145.b0002,511145.b3939,protein.P00561,protein.P00935,unique,unique,database,800,0.800,0.75,0.6000,923,195,19,0,58,0,800,558
511145.b0002,511145.b2957,protein.P00561,protein.P00805,unique,unique,database,800,0.800,0.75,0.6000,822,61,0,0,0,0,800,129
511145.b0002,511145.b2687,protein.P00561,protein.P45578,unique,unique,database,800,0.800,0.75,0.6000,854,0,0,0,0,0,800,301
511145.b0002,511145.b3172,protein.P00561,protein.P0A6E4,unique,unique,database,800,0.800,0.75,0.6000,920,195,0,0,273,0,800,401
511145.b0002,511145.b3940,protein.P00561,protein.P00562,unique,unique,database,900,0.900,0.75,0.6750,999,195,0,255,387,616,900,985
