source_string_id,target_string_id,source_entity_ids,target_entity_ids,source_mapping_status,target_mapping_status,string_channel,channel_score,channel_score_norm,base_weight,edge_weight,combined_score,neighborhood,fusion,cooccurence,coexpression,experimental,database,textmining
511145.b0002,511145.b1945,protein.P00561,protein.P06974,unique,unique,experimental,737,0.737,0.85,0.6264,737,0,0,0,0,737,0,0
511145.b0014,511145.b1000,protein.P0A6Y8,protein.P36659,unique,unique,experimental,772,0.772,0.85,0.6562,996,62,160,694,494,772,227,889
511145.b0014,511145.b1084,protein.P0A6Y8,protein.P21513,unique,unique,experimental,845,0.845,0.85,0.7182,909,53,0,0,54,845,0,426
511145.b0014,511145.b3461,protein.P0A6Y8,protein.P0AGB3,unique,unique,experimental,948,0.948,0.85,0.8058,996,45,0,0,115,948,0,934
511145.b0014,511145.b2614,protein.P0A6Y8,protein.P09372,unique,unique,experimental,997,0.997,0.85,0.8474,999,84,0,733,939,997,49,999
511145.b0014,511145.b2592,protein.P0A6Y8,protein.P63284,unique,unique,experimental,999,0.999,0.85,0.8491,999,62,0,0,995,999,0,983
511145.b0014,511145.b2231,protein.P0A6Y8,protein.P0AES4,unique,unique,experimental,718,0.718,0.85,0.6103,944,0,0,579,43,718,0,567
511145.b0014,511145.b0473,protein.P0A6Y8,protein.P0A6Z3,unique,unique,experimental,855,0.855,0.85,0.7268,999,0,5,0,994,855,309,948
511145.b0014,511145.b0015,protein.P0A6Y8,protein.P08622,unique,unique,experimental,999,0.999,0.85,0.8491,999,568,297,770,986,999,227,999
511145.b0014,511145.b0383,protein.P0A6Y8,protein.P00634,unique,unique,experimental,900,0.900,0.85,0.7650,947,70,0,0,0,900,0,485
511145.b0015,511145.b1378,protein.P08622,protein.P52647,unique,unique,experimental,752,0.752,0.85,0.6392,838,103,0,0,0,752,0,333
511145.b0015,511145.b3461,protein.P08622,protein.P0AGB3,unique,unique,experimental,858,0.858,0.85,0.7293,981,52,0,195,101,858,0,843
511145.b0015,511145.b0014,protein.P08622,protein.P0A6Y8,unique,unique,experimental,999,0.999,0.85,0.8491,999,568,297,770,986,999,227,999
511145.b0015,511145.b0424,protein.P08622,protein.Q46948,unique,unique,experimental,832,0.832,0.85,0.7072,843,60,0,0,0,832,0,87
511145.b0023,511145.b3297,protein.P0A7U7,protein.P0A7R9,unique,unique,experimental,992,0.992,0.85,0.8432,999,81,0,0,584,992,720,631
511145.b0023,511145.b0169,protein.P0A7U7,protein.P0A7V0,unique,unique,experimental,945,0.945,0.85,0.8032,999,60,0,0,880,945,720,720
511145.b0023,511145.b1716,protein.P0A7U7,protein.P0A7L3,unique,unique,experimental,945,0.945,0.85,0.8032,994,0,0,0,673,945,0,700
511145.b0023,511145.b3590,protein.P0A7U7,protein.P14081,unique,unique,experimental,807,0.807,0.85,0.6860,807,0,0,0,0,807,0,0
511145.b0023,511145.b4147,protein.P0A7U7,protein.P0A6N4,unique,unique,experimental,981,0.981,0.85,0.8338,998,43,0,0,884,981,0,203
511145.b0023,511145.b3340,protein.P0A7U7,protein.P0A6M8,unique,unique,experimental,934,0.934,0.85,0.7939,964,42,0,0,216,934,0,365
511145.b0023,511145.b4506,protein.P0A7U7,protein.Q2EEQ2,unique,unique,experimental,926,0.926,0.85,0.7871,962,0,0,0,400,926,0,228
511145.b0023,511145.b0191,protein.P0A7U7,protein.P40711,unique,unique,experimental,800,0.800,0.85,0.6800,825,65,0,0,0,800,0,144
511145.b0023,511145.b3231,protein.P0A7U7,protein.P0AA10,unique,unique,experimental,999,0.999,0.85,0.8491,999,102,0,0,958,999,0,647
511145.b0023,511145.b0957,protein.P0A7U7,protein.P0A910,unique,unique,experimental,800,0.800,0.85,0.6800,819,61,0,0,52,800,0,106
511145.b0023,511145.b3707,protein.P0A7U7,protein.P0AD89,unique,unique,experimental,800,0.800,0.85,0.6800,800,0,0,0,0,800,0,0
511145.b0023,511145.b2331,protein.P0A7U7,protein.P0A8B2,unique,unique,experimental,800,0.800,0.85,0.6800,800,43,0,0,0,800,0,0
511145.b0023,511145.b4202,protein.P0A7U7,protein.P0A7T7,unique,unique,experimental,945,0.945,0.85,0.8032,999,107,0,0,912,945,720,495
511145.b0023,511145.b2609,protein.P0A7U7,protein.P0A7T3,unique,unique,experimental,945,0.945,0.85,0.8032,999,108,0,0,951,945,720,650
511145.b0023,511145.b0051,protein.P0A7U7,protein.P06992,unique,unique,experimental,800,0.800,0.85,0.6800,911,109,0,0,51,800,0,539
511145.b0023,511145.b4375,protein.P0A7U7,protein.P0A7I4,unique,unique,experimental,800,0.800,0.85,0.6800,873,0,0,0,180,800,0,292
511145.b0023,511145.b3304,protein.P0A7U7,protein.P0C018,unique,unique,experimental,945,0.945,0.85,0.8032,985,57,0,167,510,945,0,411
511145.b0023,511145.b3981,protein.P0A7U7,protein.P0AG96,unique,unique,experimental,800,0.800,0.85,0.6800,907,0,0,0,501,800,0,150
511145.b0023,511145.b3169,protein.P0A7U7,protein.P0AFF6,unique,unique,experimental,800,0.800,0.85,0.6800,832,109,0,0,133,800,0,43
511145.b0023,511145.b3287,protein.P0A7U7,protein.P0A6K3,unique,unique,experimental,975,0.975,0.85,0.8287,984,108,0,0,118,975,0,293
511145.b0023,511145.b3339,protein.P0A7U7,protein.P0CE47,unique,unique,experimental,999,0.999,0.85,0.8491,999,62,0,0,304,999,0,298
511145.b0023,511145.b3298,protein.P0A7U7,protein.P0A7S9,unique,unique,experimental,945,0.945,0.85,0.8032,997,78,0,0,577,945,720,646
511145.b0023,511145.b3319,protein.P0A7U7,protein.P60723,unique,unique,experimental,945,0.945,0.85,0.8032,991,0,0,0,708,945,0,495
511145.b0023,511145.b3186,protein.P0A7U7,protein.P0AG48,unique,unique,experimental,945,0.945,0.85,0.8032,999,61,0,0,951,945,0,649
511145.b0023,511145.b1717,protein.P0A7U7,protein.P0A7Q1,unique,unique,experimental,945,0.945,0.85,0.8032,991,0,0,0,605,945,0,634
511145.b0023,511145.b3305,protein.P0A7U7,protein.P0AG55,unique,unique,experimental,945,0.945,0.85,0.8032,993,54,0,0,693,945,0,644
511145.b0023,511145.b0172,protein.P0A7U7,protein.P0A805,unique,unique,experimental,886,0.886,0.85,0.7531,941,0,0,0,319,886,0,310
511145.b0023,511145.b0296,protein.P0A7U7,protein.P0A7N1,unique,unique,experimental,926,0.926,0.85,0.7871,982,96,0,0,732,926,0,157
511145.b0023,511145.b2784,protein.P0A7U7,protein.P0AG20,unique,unique,experimental,999,0.999,0.85,0.8491,999,0,0,0,0,999,0,0
