source_string_id,target_string_id,source_entity_ids,target_entity_ids,source_mapping_status,target_mapping_status,network_type,score,score_norm,experimental,database,textmining,combined_score
511145.b0002,511145.b3940,protein.P00561,protein.P00562,unique,unique,physical_association,997,0.997,0,900,973,997
511145.b0002,511145.b4024,protein.P00561,protein.P08660,unique,unique,physical_association,900,0.900,0,900,0,900
511145.b0008,511145.b2464,protein.P0A870,protein.P0A867,unique,unique,physical_association,900,0.900,0,900,0,900
511145.b0009,511145.b0782,protein.P0AF03,protein.P0AEZ9,unique,unique,physical_association,900,0.900,0,900,0,900
511145.b0014,511145.b0473,protein.P0A6Y8,protein.P0A6Z3,unique,unique,physical_association,882,0.882,696,309,486,882
511145.b0014,511145.b0015,protein.P0A6Y8,protein.P08622,unique,unique,physical_association,999,0.999,952,227,984,999
511145.b0014,511145.b2614,protein.P0A6Y8,protein.P09372,unique,unique,physical_association,999,0.999,966,49,973,999
511145.b0014,511145.b2592,protein.P0A6Y8,protein.P63284,unique,unique,physical_association,800,0.800,559,0,566,800
511145.b0014,511145.b0383,protein.P0A6Y8,protein.P00634,unique,unique,physical_association,900,0.900,900,0,0,900
511145.b0015,511145.b0014,protein.P08622,protein.P0A6Y8,unique,unique,physical_association,999,0.999,952,227,984,999
511145.b0015,511145.b2614,protein.P08622,protein.P09372,unique,unique,physical_association,988,0.988,522,0,976,988
511145.b0015,511145.b1378,protein.P08622,protein.P52647,unique,unique,physical_association,752,0.752,752,0,0,752
511145.b0023,511145.b3308,protein.P0A7U7,protein.P62399,unique,unique,physical_association,945,0.945,945,0,0,945
511145.b0023,511145.b0169,protein.P0A7U7,protein.P0A7V0,unique,unique,physical_association,984,0.984,945,720,0,984
511145.b0023,511145.b3988,protein.P0A7U7,protein.P0A8T7,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b3985,protein.P0A7U7,protein.P0A7J3,unique,unique,physical_association,935,0.935,935,0,0,935
511145.b0023,511145.b3319,protein.P0A7U7,protein.P60723,unique,unique,physical_association,945,0.945,945,0,0,945
511145.b0023,511145.b4375,protein.P0A7U7,protein.P0A7I4,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b3486,protein.P0A7U7,protein.P37624,unique,unique,physical_association,720,0.720,0,720,0,720
511145.b0023,511145.b3303,protein.P0A7U7,protein.P0A7W1,unique,unique,physical_association,985,0.985,949,720,0,985
511145.b0023,511145.b3307,protein.P0A7U7,protein.P0AG59,unique,unique,physical_association,984,0.984,945,720,0,984
511145.b0023,511145.b3936,protein.P0A7U7,protein.P0A7M9,unique,unique,physical_association,905,0.905,905,0,0,905
511145.b0023,511145.b3287,protein.P0A7U7,protein.P0A6K3,unique,unique,physical_association,935,0.935,935,0,0,935
511145.b0023,511145.b0957,protein.P0A7U7,protein.P0A910,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b3302,protein.P0A7U7,protein.P0AG51,unique,unique,physical_association,945,0.945,945,0,0,945
511145.b0023,511145.b0953,protein.P0A7U7,protein.P0AFW2,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b2597,protein.P0A7U7,protein.P0AD49,unique,unique,physical_association,859,0.859,518,720,0,859
511145.b0023,511145.b2620,protein.P0A7U7,protein.P0A832,unique,unique,physical_association,925,0.925,925,0,0,925
511145.b0023,511145.b3311,protein.P0A7U7,protein.P0AG63,unique,unique,physical_association,984,0.984,945,720,0,984
511145.b0023,511145.b3299,protein.P0A7U7,protein.P0A7Q6,unique,unique,physical_association,919,0.919,919,0,0,919
511145.b0023,511145.b3342,protein.P0A7U7,protein.P0A7S3,unique,unique,physical_association,984,0.984,945,720,0,984
511145.b0023,511145.b3317,protein.P0A7U7,protein.P60422,unique,unique,physical_association,945,0.945,945,0,0,945
511145.b0023,511145.b3649,protein.P0A7U7,protein.P0A800,unique,unique,physical_association,809,0.809,809,0,0,809
511145.b0023,511145.b1480,protein.P0A7U7,protein.P68191,unique,unique,physical_association,720,0.720,0,720,0,720
511145.b0023,511145.b3986,protein.P0A7U7,protein.P0A7K2,unique,unique,physical_association,925,0.925,925,0,0,925
511145.b0023,511145.b3703,protein.P0A7U7,protein.P0A7P5,unique,unique,physical_association,945,0.945,945,0,0,945
511145.b0023,511145.b3318,protein.P0A7U7,protein.P0ADZ0,unique,unique,physical_association,945,0.945,945,0,0,945
511145.b0023,511145.b2569,protein.P0A7U7,protein.P60785,unique,unique,physical_association,963,0.963,963,0,0,963
511145.b0023,511145.b3312,protein.P0A7U7,protein.P0A7M6,unique,unique,physical_association,945,0.945,945,0,0,945
511145.b0023,511145.b2331,protein.P0A7U7,protein.P0A8B2,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b3295,protein.P0A7U7,protein.P0A7Z4,unique,unique,physical_association,935,0.935,935,0,0,935
511145.b0023,511145.b4202,protein.P0A7U7,protein.P0A7T7,unique,unique,physical_association,984,0.984,945,720,0,984
511145.b0023,511145.b4506,protein.P0A7U7,protein.Q2EEQ2,unique,unique,physical_association,905,0.905,905,0,0,905
511145.b0023,511145.b3981,protein.P0A7U7,protein.P0AG96,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b3707,protein.P0A7U7,protein.P0AD89,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b3300,protein.P0A7U7,protein.P0AGA2,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b3320,protein.P0A7U7,protein.P60438,unique,unique,physical_association,945,0.945,945,0,0,945
511145.b0023,511145.b3987,protein.P0A7U7,protein.P0A8V2,unique,unique,physical_association,807,0.807,807,0,0,807
511145.b0023,511145.b3170,protein.P0A7U7,protein.P0A8A8,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b0093,protein.P0A7U7,protein.P06136,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b3165,protein.P0A7U7,protein.P0ADZ4,unique,unique,physical_association,984,0.984,945,720,0,984
511145.b0023,511145.b3305,protein.P0A7U7,protein.P0AG55,unique,unique,physical_association,945,0.945,945,0,0,945
511145.b0023,511145.b3984,protein.P0A7U7,protein.P0A7L0,unique,unique,physical_association,945,0.945,945,0,0,945
511145.b0023,511145.b3231,protein.P0A7U7,protein.P0AA10,unique,unique,physical_association,935,0.935,935,0,0,935
511145.b0023,511145.b3982,protein.P0A7U7,protein.P0AFG0,unique,unique,physical_association,800,0.800,800,0,0,800
511145.b0023,511145.b0097,protein.P0A7U7,protein.P62395,unique,unique,physical_association,800,0.800,800,0,0,800
