pathway_id	member_type	member_id
eco00010	compound	C00022
eco00010	compound	C00024
eco00010	compound	C00031
eco00010	compound	C00033
eco00010	compound	C00036
eco00010	compound	C00068
eco00010	compound	C00074
eco00010	compound	C00084
eco00010	compound	C00085
eco00010	compound	C00103
eco00010	compound	C00111
eco00010	compound	C00118
eco00010	compound	C00186
eco00010	compound	C00197
eco00010	compound	C00221
eco00010	compound	C00236
eco00010	compound	C00267
eco00010	compound	C00354
eco00010	compound	C00469
eco00010	compound	C00631
eco00010	compound	C00668
eco00010	compound	C01159
eco00010	compound	C01172
eco00010	compound	C01451
eco00010	compound	C05125
eco00010	compound	C06186
eco00010	compound	C06187
eco00010	compound	C06188
eco00010	compound	C15972
eco00010	compound	C15973
eco00010	compound	C16255
eco00020	compound	C00022
eco00020	compound	C00024
eco00020	compound	C00026
eco00020	compound	C00036
eco00020	compound	C00042
eco00020	compound	C00068
eco00020	compound	C00074
eco00020	compound	C00091
eco00020	compound	C00122
eco00020	compound	C00149
eco00020	compound	C00158
eco00020	compound	C00311
eco00020	compound	C00417
eco00020	compound	C05125
eco00020	compound	C05379
eco00020	compound	C05381
eco00020	compound	C15972
eco00020	compound	C15973
eco00020	compound	C16254
eco00020	compound	C16255
eco00030	compound	C00022
eco00030	compound	C00031
eco00030	compound	C00085
eco00030	compound	C00117
eco00030	compound	C00118
eco00030	compound	C00119
eco00030	compound	C00121
eco00030	compound	C00197
eco00030	compound	C00198
eco00030	compound	C00199
eco00030	compound	C00204
eco00030	compound	C00221
eco00030	compound	C00231
eco00030	compound	C00257
eco00030	compound	C00258
eco00030	compound	C00279
eco00030	compound	C00345
eco00030	compound	C00354
eco00030	compound	C00577
eco00030	compound	C00620
eco00030	compound	C00631
eco00030	compound	C00668
eco00030	compound	C00672
eco00030	compound	C00673
eco00030	compound	C01151
eco00030	compound	C01172
eco00030	compound	C01182
eco00030	compound	C01218
eco00030	compound	C01236
eco00030	compound	C01801
eco00030	compound	C02076
eco00030	compound	C03752
eco00030	compound	C04442
eco00030	compound	C05382
eco00030	compound	C06019
eco00030	compound	C06473
eco00030	compound	C20589
eco00040	compound	C00022
eco00040	compound	C00026
eco00040	compound	C00029
eco00040	compound	C00103
eco00040	compound	C00111
eco00040	compound	C00116
eco00040	compound	C00167
eco00040	compound	C00181
eco00040	compound	C00191
eco00040	compound	C00199
eco00040	compound	C00204
eco00040	compound	C00216
eco00040	compound	C00231
eco00040	compound	C00259
eco00040	compound	C00266
eco00040	compound	C00309
eco00040	compound	C00310
eco00040	compound	C00312
eco00040	compound	C00333
eco00040	compound	C00379
eco00040	compound	C00433
eco00040	compound	C00470
eco00040	compound	C00474
eco00040	compound	C00476
eco00040	compound	C00502
eco00040	compound	C00508
eco00040	compound	C00514
eco00040	compound	C00532
eco00040	compound	C00558
eco00040	compound	C00618
eco00040	compound	C00714
eco00040	compound	C00789
eco00040	compound	C00800
eco00040	compound	C00817
eco00040	compound	C00905
eco00040	compound	C01068
eco00040	compound	C01101
eco00040	compound	C01508
eco00040	compound	C01904
eco00040	compound	C02266
eco00040	compound	C02273
eco00040	compound	C02426
eco00040	compound	C02753
eco00040	compound	C03033
eco00040	compound	C03291
eco00040	compound	C03826
eco00040	compound	C04053
eco00040	compound	C04349
eco00040	compound	C04575
eco00040	compound	C05385
eco00040	compound	C05411
eco00040	compound	C05412
eco00040	compound	C06118
eco00040	compound	C06441
eco00040	compound	C14899
eco00040	compound	C15930
eco00040	compound	C20680
eco00040	compound	C20902
eco00040	compound	C20903
eco00040	compound	C22337
eco00040	compound	C22712
eco00051	compound	C00085
eco00051	compound	C00095
eco00051	compound	C00096
eco00051	compound	C00111
eco00051	compound	C00118
eco00051	compound	C00159
eco00051	compound	C00186
eco00051	compound	C00247
eco00051	compound	C00267
eco00051	compound	C00275
eco00051	compound	C00325
eco00051	compound	C00354
eco00051	compound	C00392
eco00051	compound	C00424
eco00051	compound	C00464
eco00051	compound	C00507
eco00051	compound	C00577
eco00051	compound	C00636
eco00051	compound	C00644
eco00051	compound	C00665
eco00051	compound	C00794
eco00051	compound	C00861
eco00051	compound	C00976
eco00051	compound	C01019
eco00051	compound	C01094
eco00051	compound	C01096
eco00051	compound	C01099
eco00051	compound	C01131
eco00051	compound	C01222
eco00051	compound	C01355
eco00051	compound	C01487
eco00051	compound	C01720
eco00051	compound	C01721
eco00051	compound	C01768
eco00051	compound	C01934
eco00051	compound	C02431
eco00051	compound	C02492
eco00051	compound	C02888
eco00051	compound	C02962
eco00051	compound	C02977
eco00051	compound	C02985
eco00051	compound	C02991
eco00051	compound	C03117
eco00051	compound	C03267
eco00051	compound	C03827
eco00051	compound	C03979
eco00051	compound	C05144
eco00051	compound	C05392
eco00051	compound	C06192
eco00051	compound	C11516
eco00051	compound	C11544
eco00051	compound	C18028
eco00051	compound	C18096
eco00051	compound	C20781
eco00051	compound	C20835
eco00051	compound	C20836
eco00052	compound	C00029
eco00052	compound	C00031
eco00052	compound	C00052
eco00052	compound	C00085
eco00052	compound	C00089
eco00052	compound	C00095
eco00052	compound	C00103
eco00052	compound	C00111
eco00052	compound	C00116
eco00052	compound	C00118
eco00052	compound	C00124
eco00052	compound	C00137
eco00052	compound	C00159
eco00052	compound	C00243
eco00052	compound	C00267
eco00052	compound	C00446
eco00052	compound	C00492
eco00052	compound	C00577
eco00052	compound	C00668
eco00052	compound	C00794
eco00052	compound	C00795
eco00052	compound	C00880
eco00052	compound	C00984
eco00052	compound	C01097
eco00052	compound	C01113
eco00052	compound	C01132
eco00052	compound	C01216
eco00052	compound	C01235
eco00052	compound	C01286
eco00052	compound	C01613
eco00052	compound	C01697
eco00052	compound	C02262
eco00052	compound	C02669
eco00052	compound	C03383
eco00052	compound	C03733
eco00052	compound	C03785
eco00052	compound	C05396
eco00052	compound	C05399
eco00052	compound	C05400
eco00052	compound	C05401
eco00052	compound	C05402
eco00052	compound	C05404
eco00052	compound	C05796
eco00052	compound	C06311
eco00052	compound	C06376
eco00052	compound	C06377
eco00053	compound	C00022
eco00053	compound	C00026
eco00053	compound	C00029
eco00053	compound	C00072
eco00053	compound	C00096
eco00053	compound	C00137
eco00053	compound	C00167
eco00053	compound	C00191
eco00053	compound	C00216
eco00053	compound	C00231
eco00053	compound	C00259
eco00053	compound	C00333
eco00053	compound	C00433
eco00053	compound	C00545
eco00053	compound	C00558
eco00053	compound	C00617
eco00053	compound	C00618
eco00053	compound	C00652
eco00053	compound	C00679
eco00053	compound	C00684
eco00053	compound	C00800
eco00053	compound	C00818
eco00053	compound	C00878
eco00053	compound	C00879
eco00053	compound	C01040
eco00053	compound	C01041
eco00053	compound	C01101
eco00053	compound	C01114
eco00053	compound	C01115
eco00053	compound	C01146
eco00053	compound	C01620
eco00053	compound	C01825
eco00053	compound	C02280
eco00053	compound	C02670
eco00053	compound	C03033
eco00053	compound	C03064
eco00053	compound	C03289
eco00053	compound	C03291
eco00053	compound	C03826
eco00053	compound	C03921
eco00053	compound	C04037
eco00053	compound	C04575
eco00053	compound	C05385
eco00053	compound	C05411
eco00053	compound	C05412
eco00053	compound	C05422
eco00053	compound	C06316
eco00053	compound	C14899
eco00053	compound	C15923
eco00053	compound	C15924
eco00053	compound	C15925
eco00053	compound	C15926
eco00053	compound	C15930
eco00053	compound	C16186
eco00053	compound	C20889
eco00053	compound	C20896
eco00053	compound	C21955
eco00500	compound	C00029
eco00500	compound	C00031
eco00500	compound	C00085
eco00500	compound	C00089
eco00500	compound	C00092
eco00500	compound	C00095
eco00500	compound	C00103
eco00500	compound	C00185
eco00500	compound	C00208
eco00500	compound	C00252
eco00500	compound	C00369
eco00500	compound	C00372
eco00500	compound	C00394
eco00500	compound	C00498
eco00500	compound	C00501
eco00500	compound	C00663
eco00500	compound	C00689
eco00500	compound	C00718
eco00500	compound	C00721
eco00500	compound	C00760
eco00500	compound	C00963
eco00500	compound	C00965
eco00500	compound	C00973
eco00500	compound	C01083
eco00500	compound	C01231
eco00500	compound	C01725
eco00500	compound	C01898
eco00500	compound	C01935
eco00500	compound	C02591
eco00500	compound	C02995
eco00500	compound	C03323
eco00500	compound	C04534
eco00500	compound	C05731
eco00500	compound	C06215
eco00500	compound	C06400
eco00500	compound	C16688
eco00500	compound	C20237
eco00620	compound	C00022
eco00620	compound	C00024
eco00620	compound	C00033
eco00620	compound	C00036
eco00620	compound	C00042
eco00620	compound	C00058
eco00620	compound	C00068
eco00620	compound	C00074
eco00620	compound	C00083
eco00620	compound	C00084
eco00620	compound	C00122
eco00620	compound	C00149
eco00620	compound	C00186
eco00620	compound	C00227
eco00620	compound	C00256
eco00620	compound	C00332
eco00620	compound	C00424
eco00620	compound	C00469
eco00620	compound	C00546
eco00620	compound	C00937
eco00620	compound	C01251
eco00620	compound	C02488
eco00620	compound	C02504
eco00620	compound	C03248
eco00620	compound	C03451
eco00620	compound	C03981
eco00620	compound	C05125
eco00620	compound	C05993
eco00620	compound	C05994
eco00620	compound	C15972
eco00620	compound	C15973
eco00620	compound	C16255
eco00630	compound	C00007
eco00630	compound	C00011
eco00630	compound	C00014
eco00630	compound	C00022
eco00630	compound	C00024
eco00630	compound	C00025
eco00630	compound	C00026
eco00630	compound	C00027
eco00630	compound	C00033
eco00630	compound	C00036
eco00630	compound	C00037
eco00630	compound	C00042
eco00630	compound	C00048
eco00630	compound	C00049
eco00630	compound	C00058
eco00630	compound	C00064
eco00630	compound	C00065
eco00630	compound	C00091
eco00630	compound	C00100
eco00630	compound	C00111
eco00630	compound	C00136
eco00630	compound	C00149
eco00630	compound	C00158
eco00630	compound	C00160
eco00630	compound	C00168
eco00630	compound	C00197
eco00630	compound	C00209
eco00630	compound	C00258
eco00630	compound	C00266
eco00630	compound	C00311
eco00630	compound	C00313
eco00630	compound	C00332
eco00630	compound	C00417
eco00630	compound	C00552
eco00630	compound	C00631
eco00630	compound	C00683
eco00630	compound	C00798
eco00630	compound	C00877
eco00630	compound	C00888
eco00630	compound	C00898
eco00630	compound	C00975
eco00630	compound	C00988
eco00630	compound	C01127
eco00630	compound	C01146
eco00630	compound	C01182
eco00630	compound	C01213
eco00630	compound	C01380
eco00630	compound	C01732
eco00630	compound	C01989
eco00630	compound	C01990
eco00630	compound	C02123
eco00630	compound	C02405
eco00630	compound	C03217
eco00630	compound	C03459
eco00630	compound	C03548
eco00630	compound	C03561
eco00630	compound	C03618
eco00630	compound	C04348
eco00630	compound	C05840
eco00630	compound	C06027
eco00630	compound	C06028
eco00630	compound	C06049
eco00630	compound	C18026
eco00630	compound	C18324
eco00630	compound	C19838
eco00630	compound	C20238
eco00630	compound	C22337
eco00640	compound	C00024
eco00640	compound	C00036
eco00640	compound	C00042
eco00640	compound	C00068
eco00640	compound	C00083
eco00640	compound	C00091
eco00640	compound	C00099
eco00640	compound	C00100
eco00640	compound	C00109
eco00640	compound	C00111
eco00640	compound	C00163
eco00640	compound	C00186
eco00640	compound	C00222
eco00640	compound	C00424
eco00640	compound	C00479
eco00640	compound	C00511
eco00640	compound	C00546
eco00640	compound	C00583
eco00640	compound	C00683
eco00640	compound	C00804
eco00640	compound	C00827
eco00640	compound	C00894
eco00640	compound	C01013
eco00640	compound	C01213
eco00640	compound	C02170
eco00640	compound	C02225
eco00640	compound	C02335
eco00640	compound	C02876
eco00640	compound	C04225
eco00640	compound	C04593
eco00640	compound	C05235
eco00640	compound	C05668
eco00640	compound	C05979
eco00640	compound	C05983
eco00640	compound	C05984
eco00640	compound	C05989
eco00640	compound	C06002
eco00640	compound	C15972
eco00640	compound	C15973
eco00640	compound	C21017
eco00640	compound	C21018
eco00640	compound	C21250
eco00650	compound	C00022
eco00650	compound	C00024
eco00650	compound	C00025
eco00650	compound	C00026
eco00650	compound	C00042
eco00650	compound	C00091
eco00650	compound	C00122
eco00650	compound	C00132
