Entry	Entry Name	Gene Names	Protein names	Organism	EC number	KEGG	GeneID
A5A616	MGTS_ECOLI	mgtS yneM b4599 JW1527.1	Small protein MgtS	Escherichia coli (strain K12)		eco:b4599;ecoc:C3026_08865;	45138670;5061497;93032982;
O32583	THIS_ECOLI	thiS thiG1 b4407 JW3955	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	Escherichia coli (strain K12)		ecj:JW3955;eco:b4407;ecoc:C3026_21560;	2847702;
P00350	6PGD_ECOLI	gnd b2029 JW2011	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	Escherichia coli (strain K12)	1.1.1.44	ecj:JW2011;eco:b2029;ecoc:C3026_11435;	946554;
P00363	FRDA_ECOLI	frdA b4154 JW4115	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	Escherichia coli (strain K12)	1.3.5.1	ecj:JW4115;eco:b4154;ecoc:C3026_22455;	93777668;948667;
P00370	DHE4_ECOLI	gdhA b1761 JW1750	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	Escherichia coli (strain K12)	1.4.1.4	ecj:JW1750;eco:b1761;ecoc:C3026_10050;	946802;
P00393	NDH_ECOLI	ndh b1109 JW1095	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	Escherichia coli (strain K12)	1.16.1.-; 1.6.5.9	ecj:JW1095;eco:b1109;ecoc:C3026_06690;	86863609;93776299;946792;
P00448	SODM_ECOLI	sodA b3908 JW3879	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	Escherichia coli (strain K12)	1.15.1.1	ecj:JW3879;eco:b3908;ecoc:C3026_21130;	948403;
P00452	RIR1_ECOLI	nrdA dnaF b2234 JW2228	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	Escherichia coli (strain K12)	1.17.4.1	ecj:JW2228;eco:b2234;ecoc:C3026_12485;	93774941;946612;
P00490	PHSM_ECOLI	malP b3417 JW5689	Maltodextrin phosphorylase (EC 2.4.1.1)	Escherichia coli (strain K12)	2.4.1.1	ecj:JW5689;eco:b3417;ecoc:C3026_18535;	75202260;947922;
P00509	AAT_ECOLI	aspC b0928 JW0911	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	Escherichia coli (strain K12)	2.6.1.1	ecj:JW0911;eco:b0928;ecoc:C3026_05700;	93776486;945553;
P00550	PTM3C_ECOLI	mtlA b3599 JW3573	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]	Escherichia coli (strain K12)	2.7.1.197	ecj:JW3573;eco:b3599;ecoc:C3026_19515;	948118;
P00561	AK1H_ECOLI	thrA thrA1 thrA2 b0002 JW0001	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	Escherichia coli (strain K12)	1.1.1.3; 2.7.2.4	ecj:JW0001;eco:b0002;ecoc:C3026_00010;	945803;
P00562	AK2H_ECOLI	metL metM b3940 JW3911	Bifunctional aspartokinase/homoserine dehydrogenase 2 (Aspartokinase II/homoserine dehydrogenase II) (AKII-HDII) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	Escherichia coli (strain K12)	1.1.1.3; 2.7.2.4	ecj:JW3911;eco:b3940;ecoc:C3026_21290;	86861662;948433;
P00579	RPOD_ECOLI	rpoD alt b3067 JW3039	RNA polymerase sigma factor RpoD (Sigma-70)	Escherichia coli (strain K12)		ecj:JW3039;eco:b3067;ecoc:C3026_16755;	947567;
P00582	DPO1_ECOLI	polA resA b3863 JW3835	DNA polymerase I (POL I) (EC 2.7.7.7)	Escherichia coli (strain K12)	2.7.7.7	ecj:JW3835;eco:b3863;ecoc:C3026_20885;	93778073;948356;
P00634	PPB_ECOLI	phoA b0383 JW0374	Alkaline phosphatase (APase) (EC 3.1.3.1)	Escherichia coli (strain K12)	3.1.3.1	ecj:JW0374;eco:b0383;	945041;
P00722	BGAL_ECOLI	lacZ b0344 JW0335	Beta-galactosidase (Beta-gal) (EC 3.2.1.23) (Lactase)	Escherichia coli (strain K12)	3.2.1.23	ecj:JW0335;eco:b0344;	945006;
P00803	LEP_ECOLI	lepB b2568 JW2552	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	Escherichia coli (strain K12)	3.4.21.89	ecj:JW2552;eco:b2568;ecoc:C3026_14225;	947040;
P00804	LSPA_ECOLI	lspA lsp b0027 JW0025	Lipoprotein signal peptidase (EC 3.4.23.36) (Prolipoprotein signal peptidase) (Signal peptidase II) (SPase II)	Escherichia coli (strain K12)	3.4.23.36	ecj:JW0025;eco:b0027;ecoc:C3026_00130;	93777409;944800;
P00805	ASPG2_ECOLI	ansB b2957 JW2924	L-asparaginase 2 (EC 3.5.1.1) (L-asparaginase II) (L-ASNase II) (L-asparagine amidohydrolase II) (Colaspase)	Escherichia coli (strain K12)	3.5.1.1	ecj:JW2924;eco:b2957;ecoc:C3026_16180;	947454;
P00811	AMPC_ECOLI	ampC ampA b4150 JW4111	Beta-lactamase (EC 3.5.2.6) (Cephalosporinase) (CSase)	Escherichia coli (strain K12)	3.5.2.6	ecj:JW4111;eco:b4150;ecoc:C3026_22435;	948669;
P00861	DCDA_ECOLI	lysA b2838 JW2806	Diaminopimelate decarboxylase (DAP decarboxylase) (DAPDC) (EC 4.1.1.20)	Escherichia coli (strain K12)	4.1.1.20	ecj:JW2806;eco:b2838;ecoc:C3026_15585;	947313;
P00864	CAPP_ECOLI	ppc glu b3956 JW3928	Phosphoenolpyruvate carboxylase (PEPC) (PEPCase) (EC 4.1.1.31)	Escherichia coli (strain K12)	4.1.1.31	ecj:JW3928;eco:b3956;ecoc:C3026_21375;	948457;
P00888	AROF_ECOLI	aroF b2601 JW2582	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	Escherichia coli (strain K12)	2.5.1.54	ecj:JW2582;eco:b2601;ecoc:C3026_14405;	947084;
P00893	ILVI_ECOLI	ilvI b0077 JW0076	Acetolactate synthase isozyme 3 large subunit (EC 2.2.1.6) (AHAS-III) (ALS-III) (Acetohydroxy-acid synthase III large subunit)	Escherichia coli (strain K12)	2.2.1.6	ecj:JW0076;eco:b0077;	948793;
P00894	ILVH_ECOLI	ilvH brnP b0078 JW0077	Acetolactate synthase isozyme 3 small subunit (EC 2.2.1.6) (ALS-III) (Acetohydroxy-acid synthase III small subunit) (AHAS-III)	Escherichia coli (strain K12)	2.2.1.6	ecj:JW0077;eco:b0078;	947267;
