Entry	Entry Name	Gene Names	Protein names	Function [CC]	Subcellular location [CC]
A5A616	MGTS_ECOLI	mgtS yneM b4599 JW1527.1	Small protein MgtS	FUNCTION: Modulates intracellular Mg(2+) levels to maintain cellular integrity upon Mg(2+) limitation. Acts by binding and stabilizing the Mg(2+) transporter MgtA, thereby leading to increased intracellular level of Mg(2+). May inhibit FtsH proteolysis of MgtA. {ECO:0000269|PubMed:28512220}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:21778229, ECO:0000305|PubMed:19121005}; Single-pass membrane protein {ECO:0000269|PubMed:21778229}.
O32583	THIS_ECOLI	thiS thiG1 b4407 JW3955	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	FUNCTION: Is the sulfur donor in the synthesis of the thiazole phosphate moiety of thiamine phosphate. {ECO:0000269|PubMed:9632726}.	
P00350	6PGD_ECOLI	gnd b2029 JW2011	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	FUNCTION: Catalyzes the oxidative decarboxylation of 6-phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH. {ECO:0000269|PubMed:19686854}.	
P00363	FRDA_ECOLI	frdA b4154 JW4115	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	FUNCTION: Two distinct, membrane-bound, FAD-containing enzymes are responsible for the catalysis of fumarate and succinate interconversion; fumarate reductase is used during anaerobic growth, and succinate dehydrogenase is used during aerobic growth. The QFR enzyme complex binds 2 quinones in or near the membrane; 1 near the [3Fe-4S] cluster (QP is proximal to the [3Fe-4S] cluster, on the cytoplasmic side of the membrane) while QD (the distal cluster) is on the other side of the membrane. It is not clear if both of the quinol-binding sites are functionally relevant (PubMed:10373108, PubMed:11850430). {ECO:0000269|PubMed:10373108, ECO:0000269|PubMed:11850430, ECO:0000269|PubMed:24374335}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000305|PubMed:10373108, ECO:0000305|PubMed:20484676}; Peripheral membrane protein {ECO:0000305|PubMed:10373108}; Cytoplasmic side {ECO:0000305|PubMed:10373108}.
P00370	DHE4_ECOLI	gdhA b1761 JW1750	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	FUNCTION: Catalyzes the reversible oxidative deamination of glutamate to alpha-ketoglutarate and ammonia. {ECO:0000269|PubMed:235298, ECO:0000269|PubMed:241744}.	
P00393	NDH_ECOLI	ndh b1109 JW1095	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	FUNCTION: Alternative, nonproton pumping NADH:quinone oxidoreductase that delivers electrons to the respiratory chain by oxidation of NADH and reduction of quinones (PubMed:10664466, PubMed:2679883, PubMed:3122832, PubMed:6362717, PubMed:6784762, PubMed:7009604, PubMed:7020757). Utilizes NADH exclusively, and electron flow from NADH to ubiquinone does not generate an electrochemical gradient (PubMed:2679883, PubMed:3122832). {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:2679883, ECO:0000269|PubMed:3122832, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:6784762, ECO:0000269|PubMed:7009604, ECO:0000269|PubMed:7020757}.; FUNCTION: It may also contribute to copper homeostasis and bacterial oxidative protection (PubMed:10510271, PubMed:16759635, PubMed:21390523, PubMed:7487066). Shows cupric reductase activity, and catalyzes the reduction of Cu(2+) to Cu(+) with NADH as electron donor (PubMed:10510271). Exhibits Cu(2+) reductase activity in the presence of either FAD or quinone, but is unable to reduce Fe(3+) (PubMed:10510271). Contains thiolate-bound copper (PubMed:12176061). {ECO:0000269|PubMed:10510271, ECO:0000269|PubMed:12176061, ECO:0000269|PubMed:16759635, ECO:0000269|PubMed:21390523, ECO:0000269|PubMed:7487066}.	SUBCELLULAR LOCATION: Cell inner membrane {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:2679883, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:6784762, ECO:0000269|PubMed:7009604, ECO:0000269|PubMed:7020757}; Peripheral membrane protein {ECO:0000269|PubMed:10664466, ECO:0000305|PubMed:12176061}; Cytoplasmic side {ECO:0000305|PubMed:12176061}. Note=Membrane-bound (PubMed:10664466). Interaction with the membrane is probably mediated by amphipathic helices and electrostatic interactions (PubMed:15581635). Copurifies with phospholipids (PubMed:6362717, PubMed:7020757). {ECO:0000269|PubMed:10664466, ECO:0000269|PubMed:15581635, ECO:0000269|PubMed:6362717, ECO:0000269|PubMed:7020757}.
P00448	SODM_ECOLI	sodA b3908 JW3879	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	FUNCTION: Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems.	
P00452	RIR1_ECOLI	nrdA dnaF b2234 JW2228	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	FUNCTION: Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides. R1 contains the binding sites for both substrates and allosteric effectors and carries out the actual reduction of the ribonucleotide. It also provides redox-active cysteines.	
P00490	PHSM_ECOLI	malP b3417 JW5689	Maltodextrin phosphorylase (EC 2.4.1.1)	FUNCTION: Phosphorylase is an important allosteric enzyme in carbohydrate metabolism. Enzymes from different sources differ in their regulatory mechanisms and in their natural substrates. However, all known phosphorylases share catalytic and structural properties.	
P00509	AAT_ECOLI	aspC b0928 JW0911	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)		SUBCELLULAR LOCATION: Cytoplasm.
