# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Title of the evidence
## (2) Matched evidences with their respective rule
## (3) Object(s) were this evidence appears (Promoter,Transcription Units,Regulatory Interactions,Transcription Factors)
## (4) Confidence Level of the evidence
1)rule_title	2)matched_rules	3)object_type	4)confidence_level 
Additive Evidences(1/2)	1: (EXP-IMP-SITE-MUTATION ) </br>2: (EXP-IDA-BINDING-OF-PURIFIED-PROTEINS |EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-DNASE-FOOTPRINTING |EXP-IDA-BINDING-OF-PURIFIED-PROTEINS-EMSA ) </br>	regulatory interaction	C 
Additive Evidences(4/5/3)	4: (EXP-CHIP-PCR-MANUAL |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-CHIP |EXP-CHIP-CHIP-MANUAL |EXP-CHIP-SEQ-MANUAL |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-SEQ |EXP-CHIP-PCR |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-EXO |EXP-CHIP-EXO-MANUAL ) </br>5: (EXP-HTP-HDA-NUC-ACID-BINDING-GSELEX-CHIP ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	S 
Additive Evidences(4/6/3)	4: (EXP-CHIP-PCR-MANUAL |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-CHIP |EXP-CHIP-CHIP-MANUAL |EXP-CHIP-SEQ-MANUAL |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-SEQ |EXP-CHIP-PCR |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-EXO |EXP-CHIP-EXO-MANUAL ) </br>6: (EXP-HTP-HDA-NUC-ACID-BINDING-DAP-SEQ ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	S 
Additive Evidences(4/7/3)	4: (EXP-CHIP-PCR-MANUAL |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-CHIP |EXP-CHIP-CHIP-MANUAL |EXP-CHIP-SEQ-MANUAL |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-SEQ |EXP-CHIP-PCR |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-EXO |EXP-CHIP-EXO-MANUAL ) </br>7: (COMP-AINF-SIMILAR-TO-CONSENSUS |COMP-AINF-PATTERN-DISCOVERY |COMP-HINF |COMP-HINF-SIMILAR-TO-CONSENSUS |COMP-AINF |COMP-HINF-PATTERN-DISCOVERY |COMP |COMP-HINF-POSITIONAL-IDENTIFICATION |COMP-AINF-POSITIONAL-IDENTIFICATION ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	S 
Additive Evidences(4/8/3)	4: (EXP-CHIP-PCR-MANUAL |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-CHIP |EXP-CHIP-CHIP-MANUAL |EXP-CHIP-SEQ-MANUAL |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-SEQ |EXP-CHIP-PCR |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-EXO |EXP-CHIP-EXO-MANUAL ) </br>8: (EXP-IEP-GENE-EXPRESSION-ANALYSIS |EXP-HTP-HEP-RNA-SEQ |EXP-HTP-HEP-MICROARRAY |EXP-IEP |EXP-IEP-RTPCR |EXP-IEP-NORTHERN |EXP-IEP-PRIMER-EXTENSION-FOR-EXPRESSION |EXP-IEP-GFP |EXP-IEP-BETA-GAL |EXP-IEP-QRTPCR |EXP-IEP-LUCIFERASE |EXP-IDA-IN-VITRO-TRANSCRIPTION ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	S 
Additive Evidences(5/6/3)	5: (EXP-HTP-HDA-NUC-ACID-BINDING-GSELEX-CHIP ) </br>6: (EXP-HTP-HDA-NUC-ACID-BINDING-DAP-SEQ ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	S 
Additive Evidences(5/7/3)	5: (EXP-HTP-HDA-NUC-ACID-BINDING-GSELEX-CHIP ) </br>7: (COMP-AINF-SIMILAR-TO-CONSENSUS |COMP-AINF-PATTERN-DISCOVERY |COMP-HINF |COMP-HINF-SIMILAR-TO-CONSENSUS |COMP-AINF |COMP-HINF-PATTERN-DISCOVERY |COMP |COMP-HINF-POSITIONAL-IDENTIFICATION |COMP-AINF-POSITIONAL-IDENTIFICATION ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	S 
Additive Evidences(5/8/3)	5: (EXP-HTP-HDA-NUC-ACID-BINDING-GSELEX-CHIP ) </br>8: (EXP-IEP-GENE-EXPRESSION-ANALYSIS |EXP-HTP-HEP-RNA-SEQ |EXP-HTP-HEP-MICROARRAY |EXP-IEP |EXP-IEP-RTPCR |EXP-IEP-NORTHERN |EXP-IEP-PRIMER-EXTENSION-FOR-EXPRESSION |EXP-IEP-GFP |EXP-IEP-BETA-GAL |EXP-IEP-QRTPCR |EXP-IEP-LUCIFERASE |EXP-IDA-IN-VITRO-TRANSCRIPTION ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	S 
Additive Evidences(6/7/3)	6: (EXP-HTP-HDA-NUC-ACID-BINDING-DAP-SEQ ) </br>7: (COMP-AINF-SIMILAR-TO-CONSENSUS |COMP-AINF-PATTERN-DISCOVERY |COMP-HINF |COMP-HINF-SIMILAR-TO-CONSENSUS |COMP-AINF |COMP-HINF-PATTERN-DISCOVERY |COMP |COMP-HINF-POSITIONAL-IDENTIFICATION |COMP-AINF-POSITIONAL-IDENTIFICATION ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	S 
Additive Evidences(6/8/3)	6: (EXP-HTP-HDA-NUC-ACID-BINDING-DAP-SEQ ) </br>8: (EXP-IEP-GENE-EXPRESSION-ANALYSIS |EXP-HTP-HEP-RNA-SEQ |EXP-HTP-HEP-MICROARRAY |EXP-IEP |EXP-IEP-RTPCR |EXP-IEP-NORTHERN |EXP-IEP-PRIMER-EXTENSION-FOR-EXPRESSION |EXP-IEP-GFP |EXP-IEP-BETA-GAL |EXP-IEP-QRTPCR |EXP-IEP-LUCIFERASE |EXP-IDA-IN-VITRO-TRANSCRIPTION ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	S 
Additive Evidences(7/8/3)	7: (COMP-AINF-SIMILAR-TO-CONSENSUS |COMP-AINF-PATTERN-DISCOVERY |COMP-HINF |COMP-HINF-SIMILAR-TO-CONSENSUS |COMP-AINF |COMP-HINF-PATTERN-DISCOVERY |COMP |COMP-HINF-POSITIONAL-IDENTIFICATION |COMP-AINF-POSITIONAL-IDENTIFICATION ) </br>8: (EXP-IEP-GENE-EXPRESSION-ANALYSIS |EXP-HTP-HEP-RNA-SEQ |EXP-HTP-HEP-MICROARRAY |EXP-IEP |EXP-IEP-RTPCR |EXP-IEP-NORTHERN |EXP-IEP-PRIMER-EXTENSION-FOR-EXPRESSION |EXP-IEP-GFP |EXP-IEP-BETA-GAL |EXP-IEP-QRTPCR |EXP-IEP-LUCIFERASE |EXP-IDA-IN-VITRO-TRANSCRIPTION ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	S 
Additive Evidences(7/4/5/6/3)	7: (COMP-AINF-SIMILAR-TO-CONSENSUS |COMP-AINF-PATTERN-DISCOVERY |COMP-HINF |COMP-HINF-SIMILAR-TO-CONSENSUS |COMP-AINF |COMP-HINF-PATTERN-DISCOVERY |COMP |COMP-HINF-POSITIONAL-IDENTIFICATION |COMP-AINF-POSITIONAL-IDENTIFICATION ) </br>4: (EXP-CHIP-PCR-MANUAL |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-CHIP |EXP-CHIP-CHIP-MANUAL |EXP-CHIP-SEQ-MANUAL |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-SEQ |EXP-CHIP-PCR |EXP-HTP-HDA-NUC-ACID-BINDING-CHIP-EXO |EXP-CHIP-EXO-MANUAL ) </br>5: (EXP-HTP-HDA-NUC-ACID-BINDING-GSELEX-CHIP ) </br>6: (EXP-HTP-HDA-NUC-ACID-BINDING-DAP-SEQ ) </br>3: (EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS |EXP-IDA-BINDING-OF-CELLULAR-EXTRACTS-EMSA ) </br>	regulatory interaction	C 
