# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) regulatorGeneName. Gene(s) coding for the TF
## (4) conformationName.  Name of the active conformation of the regulator.
## (5) regulatedId. Gene ID regulated by the Regulator (regulated Gene)
## (6) regulatedName. Gene regulated by the Regulator (regulated Gene)
## (7) function. Regulatory Function of the Regulator on the regulated Gene (+ activator, - repressor, -+ dual, ? unknown)
## (8) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)conformationName	5)regulatedId	6)regulatedName	7)function	8)confidenceLevel 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00006	hisM	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00030	agp	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00039	cysQ	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00065	argI	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00067	argS	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00068	argT	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00079	aroM	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00121	bolA	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00127	cadA	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00160	crp	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00162	cspA	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00197	dacC	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00224	dksA	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00229	dnaA	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00236	dnaN	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00274	fadL	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00303	fimB	+	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00311	fis	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00329	frr	-	W 
RDBECOLICNC00080	ppGpp		ppGpp	RDBECOLIGNC00333	ftsA	+	W 
