# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) regulatorGeneName. Gene(s) coding for the TF
## (4) regulatedId. Gene ID regulated by the Regulator (regulated Gene)
## (5) regulatedName. Gene regulated by the Regulator (regulated Gene)
## (6) function. Regulatory Function of the Regulator on the regulated Gene (+ activator, - repressor, -+ dual, ? unknown)
## (7) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00006	hisM	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00030	agp	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00039	cysQ	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00065	argI	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00067	argS	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00068	argT	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00079	aroM	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00121	bolA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00127	cadA	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00160	crp	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00162	cspA	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00197	dacC	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00224	dksA	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00229	dnaA	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00236	dnaN	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00274	fadL	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00303	fimB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00311	fis	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00329	frr	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00333	ftsA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00336	ftsQ	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00341	ftsZ	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00354	gabT	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00367	ggt	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00368	mnmG	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00369	rsmG	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00370	glgA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00372	glgC	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00373	glgP	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00445	hisP	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00449	hmp	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00450	hns	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00486	ilvA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00487	ilvB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00489	ilvD	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00490	ilvE	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00491	ilvH	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00492	ilvI	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00493	ilvM	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00494	ilvN	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00496	infA	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00501	katE	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00502	rpoS	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00523	leuO	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00531	livJ	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00539	lrp	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00544	lysS	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00563	mazE	-+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00564	mazG	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00671	osmB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00672	osmC	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00682	pcnB	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00726	phr	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00733	pnp	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00744	poxB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00752	prfB	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00754	priB	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00775	pth	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00795	pyrB	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00801	pyrI	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00802	queA	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00818	recF	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00825	relA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00852	rnpA	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00860	rplI	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00879	rpmE	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00882	rpmH	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00891	rpsB	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00895	rpsF	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00904	rpsO	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00907	rpsR	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00949	speC	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00984	tgt	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00986	thrA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00987	thrB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC00988	thrC	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01004	tpr	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01005	treA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01019	trxA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01021	tsf	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01025	tufB	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01080	yaiA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01083	yajC	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01086	ybaA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01093	ybgA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01096	cspD	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01101	rluC	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01165	yhhA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01179	mioC	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01200	argH	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01203	leuA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01221	uspE	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01223	mazF	-+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01230	iraP	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01243	ilvL	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01248	ivbL	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01250	thrL	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01251	pyrL	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01252	leuL	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01264	yghA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01281	dusB	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01295	acnA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01299	gabD	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01300	gabP	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01308	msyB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01330	gluQ	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01341	folK	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01345	sufA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01348	glgS	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01356	uspA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01357	osmY	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01363	hdeA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01364	hdeB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01365	yhiD	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01369	ychF	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01380	dps	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01409	csrA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01445	gadB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01447	qorA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01450	hdeD	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01463	sra	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01470	ycgB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01483	fadD	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01484	cfa	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01486	ychH	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01493	wrbA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01497	gadE	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01523	thiQ	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01524	thiP	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01525	thiB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01526	leuD	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01527	leuC	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01528	leuB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01687	otsA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01688	otsB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01690	setA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01728	talA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01738	yebF	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01742	aidB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01803	yiiS	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01804	uspD	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01824	rpoE	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01853	yjbJ	+	? 
RDBECOLICNC00080	ppGpp		RDBECOLIGNC01913	yehE	+	W 
