# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) regulatorGeneName. Gene(s) coding for the TF
## (4) regulatedId. Regulator ID regulated by the Regulator (regulated Regulator)
## (5) regulatedName. Regulator regulated by the Regulator (regulated Regulator)
## (6) function. Regulatory Function of the Regulator on the regulated Gene (+ activator, - repressor, -+ dual, ? unknown)
## (7) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00040	CspA	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00041	MazE	-+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00050	H-NS	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00086	CRP	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00087	DksA	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00094	GadX	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00110	Lrp	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00128	GadE	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00152	DnaA	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00180	LeuO	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00190	Fis	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00192	BolA	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00215	SgrR	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00227	AidB	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITFC00240	CsgD	+	W 
RDBECOLIPDC00328	DicF	dicF	RDBECOLITFC00127	XylR	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLITFC00050	H-NS	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLITFC00088	RbsR	-	S 
RDBECOLIPDC00358	DsrA	dsrA	RDBECOLITFC00110	Lrp	-	S 
RDBECOLIPDC00706	RpsA	rpsA	RDBECOLITFC00190	Fis	+	W 
RDBECOLIPDC01031	CsrA	csrA	RDBECOLITFC00128	GadE	-	W 
RDBECOLIPDC01031	CsrA	csrA	RDBECOLITFC00157	YdeO	-	W 
RDBECOLIPDC03275	GcvB	gcvB	RDBECOLITFC00003	PhoP	-	S 
RDBECOLIPDC03275	GcvB	gcvB	RDBECOLITFC00088	RbsR	-	W 
RDBECOLIPDC03275	GcvB	gcvB	RDBECOLITFC00110	Lrp	-	S 
RDBECOLIPDC03275	GcvB	gcvB	RDBECOLITFC00188	OxyR	+	W 
RDBECOLIPDC03275	GcvB	gcvB	RDBECOLITFC00240	CsgD	-	W 
RDBECOLIPDC03411	McaS	mcaS	RDBECOLITFC00240	CsgD	-	S 
RDBECOLIPDC03413	GadY	gadY	RDBECOLITFC00032	GadW	+	W 
RDBECOLIPDC03413	GadY	gadY	RDBECOLITFC00094	GadX	+	W 
RDBECOLIPDC03508	MicF	micF	RDBECOLITFC00043	CpxR	-	W 
RDBECOLIPDC03508	MicF	micF	RDBECOLITFC00110	Lrp	-	S 
RDBECOLIPDC03921	OxyS	oxyS	RDBECOLITFC00066	FhlA	-	W 
RDBECOLIPDC03921	OxyS	oxyS	RDBECOLITFC00105	IscR	+	S 
RDBECOLIPDC04134	ChiX	chiX	RDBECOLITFC00103	DpiA	-	S 
RDBECOLIPDC04144	SgrS	sgrS	RDBECOLITFC00048	AdiY	-	S 
RDBECOLIPDC04144	SgrS	sgrS	RDBECOLITFC00150	PurR	-	S 
RDBECOLIPDC04155	RydC	rydC	RDBECOLITFC00240	CsgD	-	W 
RDBECOLIPDC04161	MgrR	mgrR	RDBECOLITFC00095	SoxS	-	S 
RDBECOLIPDC04162	FnrS	fnrS	RDBECOLITFC00057	YieP	-	S 
RDBECOLIPDC04162	FnrS	fnrS	RDBECOLITFC00060	MarA	-	W 
RDBECOLIPDC04162	FnrS	fnrS	RDBECOLITFC00105	IscR	-	S 
RDBECOLIPDC04163	ArrS	arrS	RDBECOLITFC00128	GadE	+	W 
