# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) regulatorId. Regulator identifier
## (2) regulatorName. Regulator Name
## (3) regulatorGeneName. Gene(s) coding for the TF
## (4) regulatedId. Transcription Unit ID regulated by the TF (regulated Transcription Unit)
## (5) regulatedName. Transcription Unit regulated by the TF (regulated Transcription Unit)
## (6) function. Regulatory Function of the TF on the regulated Transcription Unit (+ activator, - repressor, +- dual, ? unknown)
## (7) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)regulatorId	2)regulatorName	3)RegulatorGeneName	4)regulatedId	5)regulatedName	6)function	7)confidenceLevel 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00050	fkpA[fkpAp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00059	rrsA-ileT-alaT-rrlA-rrfA[rrsAp1]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00060	rrsB-gltT-rrlB-rrfB[rrsBp1]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00061	rrsC-gltU-rrlC-rrfC[rrsCp1]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00063	rrsE-gltV-rrlE-rrfE[rrsEp1]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00064	rrsG-gltW-rrlG-rrfG[rrsGp1]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00066	rrsH-ileV-alaV-rrlH-rrfH[rrsHp1]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00068	rrsD-ileU-alaU-rrlD-rrfD-thrV-rrfF[rrsDp1]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00074	uspB[uspBp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00076	efp[efpp]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00097	sgrR-sroA-thiBPQ[sgrRp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00099	leuO[leuOp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00195	iraP[iraPp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00217	ybaA[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00259	ybdK[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00307	ybgS[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00317	ybhP-clsB-ybhN[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00351	ycaP[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00365	yccT[yccTp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00378	wrbA-yccJ[wrbAp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00394	grxB[grxBp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00398	rluC[]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00473	uspE[uspEp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00510	ydcL[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00520	curA[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00532	adhP[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00545	tam[tamp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00579	ynfD[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00597	sodC[sodCp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00607	ldtE[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00623	yniA[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00644	yeaQ[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00653	yoaC[yoaCp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00666	yebV[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00675	yebF[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00682	argS[argSp]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00700	hchA[hchAp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00733	yegP[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00745	yehE[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00757	yohC[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00783	yojI[yojIp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00794	elaB[elaBp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00819	yfcZ[yfcZp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00919	kbp[kbpp4]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00920	yqaE[yqaEp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC00927	None[csrAp3]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01026	None[dkgAp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01063	yqjF[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01098	yhcO[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01148	dtpB[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01217	mioC[mioCp]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01289	yjbJ[]	+	? 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01331	cysQ[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01339	yjgH[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01380	prfC[prfCp]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01390	qorA[qorAp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01395	yghA[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01409	ftsZ[ftsZp3]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01417	ftsZ[ftsZp4]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01421	relA-mazEF[relAp2]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01519	crp[crpp2]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01547	ftsK[ftsKp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01584	yajO[yajOp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01593	cadA[cadAp]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01617	yaiA-aroM[yaiAp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01699	dksA-yadB[dksAp2]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01700	ecnB[ecnBp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01742	iraD[iraDp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01788	cspA[cspAp1]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01797	osmC[osmCp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01799	pth-ychF[pthp]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01810	gabDTP[gabDp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01815	osmY[osmYp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01896	gadX[gadXp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01916	sufABCDSE[sufAp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01918	narU[narUp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01920	isrC-flu[flup]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01928	trxA[trxAp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01929	trxA[trxAp2]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01932	glsA-ybaT[glsAp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01944	patA[patAp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01957	yiiS-uspD[yiiSp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01962	argT-hisJQMP[argTp]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01964	yeaGH[yeaGp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC01974	pcnB-folk[pcnBp4]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02003	sra[srap]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02008	glaH-lhgD-gabDTP[csiDp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02019	gadC[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02028	fadD-sroD[fadDp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02048	csrA[csrAp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02071	rmf[rmfp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02084	leuL[leuLp1]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02089	ivbL[ivbLp]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02093	ilvL[ilvLp2]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02097	frr[frrp]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02139	ariR[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02163	leuV[]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02166	infA-serW[]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02173	argH[]	+	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02251	rrsA-ileT-alaT-rrlA-rrfA[rrsAp]	-	W 
RDBECOLICNC00080	ppGpp		RDBECOLITUC02254	mnmG-rsmG[mnmGp2]	-	W 
