# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) sigmaName. Sigma Name
## (2) regulatedName. TU regulated by the Sigma Factor (regulated TU)
## (3) function. Regulatory Function of the Sigma on the regulated TU (+ activator, - repressor, -+ dual, ? unknown)
## (4)promoterEvidences. Evidence that supports the regulation the sigma on the promoter and the promoter evidences
## (5) confidenceLevel. RI confidence level based on its evidence (Values: Confirmed[C], Strong[S], Weak[W], Unknown[?])
1)sigmaName	2)regulatedName	3)function	4)promoterEvidence	5)confidenceLevel 
sigma19	fecABCDE[fecAp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,EXP-IDA-RNA-POLYMERASE-FOOTPRINTING]	C 
sigma24	ahpF[ahpFp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	asflhD[asflhDp]	+	[COMP-HINF,EXP-IEP,EXP-IMP,EV-EXP-IEP-NORTHERN]	W 
sigma24	bacA[bacAp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	bamA-hlpA-lpxD-fabZ-lpxAB-rnhB-dnaE[bamAp2]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	bamA[bamAp1]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	bamB-der[bamBp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	bamC[bamCp]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	bamD[bamDp1]	+	[COMP-HINF-SIMILAR-TO-CONSENSUS,COMP-HINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	bamD[bamDp2]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	bamE[bamEp]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING,COMP-AINF]	S 
sigma24	bepA-yfgD[bepAp1]	+	[COMP-AINF-SIMILAR-TO-CONSENSUS,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
sigma24	bhsA[bhsAp]	+	[EXP-IEP,EXP-IDA-HPT-TRANSCR-INIT-M-RACE-MAP]	W 
sigma24	clpX-lon[clpXp]	+	[EXP-IEP,COMP-HINF,COMP-AINF,COMP-AINF-POSITIONAL-IDENTIFICATION,EXP-IDA-TRANSCRIPTION-INIT-MAPPING]	S 
