# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Transcription Factor (TF) identifier assigned by RegulonDB
## (2) TF Name
## (3) TF Synonyms List
## (4) Gene Coding for the TF
## (5) Gene Bnumbers Coding for the TF
## (6) TF Active Conformations
## (7) TF Inactive Conformations
## (8) TF Active Conformations  Synonyms List
## (9) TF Inactive Conformations  Synonyms List
## (10) Effector Name related to  TF Active Conformations
## (11) Effector Name related to  TF Inactive Conformations
## (12) Effector Synonyms List related to TF Active Conformations TF 
## (13) Effector Synonyms List related to TF Inactive Conformations TF
## (14) TF Symmetry
## (15) Evidence that supports the TF conformation [Evidence code | Evidence type: C = Confirmed, S = Strong, W = Weak | Evidence name ]
## (16) addEvidence. Additive Evidence [CV(EvidenceCode1/EvidenceCodeN)|Confidence Level]
## (17) confidenceLevel. Confidence level (Values: Confirmed, Strong, Weak)
## (18) TF conformation reference identifier (PMID)
1)tfId	2)tfName	3)tfSynonyms	4)geneCodingForTF	5)geneBnumberCodingForTF	6)tfActiveConformations	7)tfInactiveConformations	8)tfActiveConformationsSynonyms	9)tfInactiveConformationsSynonyms	10)tfActiveConformationsEffector	11)tfInactiveConformationsEffector	12)tfActiveConformationsEffectorSynonyms	13)tfInactiveConformationsEffectorSynonyms	14)symmetry	15)tfEvidences	16)additiveEvidences	17)confidenceLevel	18)tfConformationPMID 
RDBECOLITFC00001	YafC	YafC|predicted DNA-binding transcriptional regulator LYSR-type	yafC	b0208	YafC		YafC|predicted DNA-binding transcriptional regulator LYSR-type						INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IPI:W		W	15556475|30137486 
RDBECOLITFC00002	NemR	YdhM|NemR	nemR	b1649	NemR	NemR-methylglyoxal	YdhM|NemR			methylglyoxal		2-oxopropanal|acetylformaldehyde|pyruvic aldehyde|pyruvaldehyde	INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IDA-PURIFIED-PROTEIN:W		W	15556475|18567656 
RDBECOLITFC00003	PhoP	PhoP|PhoP response regulator	phoP	b1130	DNA-binding transcriptional dual regulator PhoP-phosphorylated								DIRECT-REPEAT	COMP-AINF-FN-FROM-SEQ:W|EXP-IMP:W|IDA-PURIFIED-PROTEIN-NH:S|COMP-HINF-FN-FROM-SEQ:W		S	10464230|12813061|1530848|15703297|1729240 
RDBECOLITFC00004	NhaR	YaaB|AntO|NhaR	nhaR	b0020	NhaR-Na<SUP>+</SUP> DNA-binding transcriptional activator				Na<SUP>+</SUP>		sodium(I)|Na<sup>I</sup>			EXP-IMP:W|EXP-IDA-PURIFIED-PROTEIN:W|COMP-HINF-FN-FROM-SEQ:W		W	11577158|12867437|1316901|16997959|3413113|8168494|9312050 
RDBECOLITFC00005	NsrR	YjeB|NsrR	nsrR	b4178	DNA-binding transcriptional dual regulator NsrR	NsrR-nitric oxide				nitric oxide		NO|nitrogen monoxide|nitrogen protoxide	INVERTED-REPEAT	COMP-HINF-FN-FROM-SEQ:W|EXP-IPI:W|EXP-IEP:W|IDA-PURIFIED-PROTEIN-NH:S		S	16428390|17720788|18433631|19656291|20533909 
RDBECOLITFC00006	TorR	TorR response regulator|TorR	torR	b0995	DNA-binding transcriptional dual regulator TorR		TorR response regulator|TorR							EXP-IDA-PURIFIED-PROTEIN:W|EXP-IEP:W|EXP:W		W	12657056|1482126|2157156|7699720|8083154|8098993|8596446 
RDBECOLITFC00007	FabR	FabR|YijC	fabR	b3963	FabR		FabR|YijC						INVERTED-REPEAT	EXP-IPI:W|EXP-IDA:W|EXP-IEP:W		W	11160901|11859088 
RDBECOLITFC00008	ComR	ComR|YcfQ	comR	b1111	ComR	ComR-Cu<SUP>+</SUP>	ComR|YcfQ			Cu<SUP>+</SUP>		copper(I)|cuprous ion|cuprous copper|Cu<sup>I</sup>	INVERTED-REPEAT	COMP-AINF-FN-FROM-SEQ:W|IDA-PURIFIED-PROTEIN-NH:S|EXP-IEP:W		S	15556475|22089859 
RDBECOLITFC00009	ArgR	XerA|ArgR	argR	b3237	DNA-binding transcriptional dual regulator ArgR		XerA|ArgR							IDA-PURIFIED-PROTEIN-NH:S|EXP-IPI:W|COMP-HINF-FN-FROM-SEQ:W		S	4555419|3116542|3149585|7997172|11580241|1640456|1640457|17850814|8594204 
RDBECOLITFC00010	IlvY	IlvY|positive regulator for ilvC	ilvY	b3773	IlvY|IlvY-(<i>S</i>)-2-acetolactate DNA-binding transcriptional dual regulator		IlvY|positive regulator for ilvC		(<i>S</i>)-2-acetolactate		(<i>S</i>)-2-hydroxy-2-methyl-3-oxobutanoate|&alpha;-acetolactate|(2<i>S</i>)-2-hydroxy-2-methyl-3-oxobutanoate		INVERTED-REPEAT	EXP-IPI:W|COMP-AINF-FN-FROM-SEQ:W		W	113381|1379743|3003115|3062177|3413113 
