# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonId. Operon Id containing the transcription unit
## (4) operonName. Operon name containing the transcription unit
## (5) tuGenes. Name of the gene(s) contained in the transcription unit
## (6) promoterId. Promoter Id
## (7) promoterName. Promoter Name
## (8) terminatorIds. Ids of the terminators associated to transcription unit
## (9) tuEvidence. Evidence that supports the existence of the transcription unit
## (10) addEvidence. Additive Evidence [CV(EvidenceCode1/EvidenceCodeN)|Confidence Level]
## (11) confidenceLevel. TU confidence level (Values: Confirmed, Strong, Weak)
## (12) PMIDs. PMIDs associated to object
1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenes	6)promoterId	7)promoterName	8)terminatorIds	9)tuEvidence	10)addEvidence	11)confidenceLevel	12)PMIDs 
RDBECOLITUC00001	spy	RDBECOLIOPC01548	spy	spy	RDBECOLIPMC00001	spyp	RDBECOLITMC00026	EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S;EXP-IDA-BOUNDARIES-DEFINED:W		S	15716448;9068658;12354228;32385082;24999585;15686558;17884222;23421615 
RDBECOLITUC00002	ycaC	RDBECOLIOPC00049	ycaC	ycaC				COMP-AINF-SINGLE-DIRECTON:W		W	 
RDBECOLITUC00003	yfeKS	RDBECOLIOPC00103	yfeKS	yfeK;yfeS	RDBECOLIPMC00002	yfeKp		EXP-IEP-COREGULATION:W		W	16336047 
RDBECOLITUC00004	bepA-yfgD	RDBECOLIOPC02654	bepA-yfgD	bepA;yfgD	RDBECOLIPMC00003	bepAp1		EXP-IEP-COREGULATION:W		W	16336047 
RDBECOLITUC00005	bamB-der	RDBECOLIOPC00342	bamB-der	der;bamB	RDBECOLIPMC00004	bamBp		EXP-IEP-COREGULATION:W		W	16336047;31964733 
RDBECOLITUC00006	qseBC	RDBECOLIOPC01132	qseBC	qseB;qseC	RDBECOLIPMC01878	qseBp2		EXP-IEP-COREGULATION:W		W	11929534;16194231 
RDBECOLITUC00007	recC	RDBECOLIOPC02411	ppdAB-ygdB-ppdC-recC	recC	RDBECOLIPMC00005	recCp				None	29559967 
RDBECOLITUC00008	infA	RDBECOLIOPC02892	infA-serW	infA	RDBECOLIPMC00006	infAp2	RDBECOLITMC00323	EXP-IDA-BOUNDARIES-DEFINED:W		W	1909328 
RDBECOLITUC00009	infA	RDBECOLIOPC02892	infA-serW	infA	RDBECOLIPMC00007	infAp1	RDBECOLITMC00323	EXP-IDA-BOUNDARIES-DEFINED:W		W	1909328 
RDBECOLITUC00010	bamD	RDBECOLIOPC02078	bamD	bamD	RDBECOLIPMC00008	bamDp2		COMP-AINF:W		W	 
RDBECOLITUC00011	dsbC-recJ-prfB	RDBECOLIOPC02785	dsbC-recJ-prfB	prfB;recJ;dsbC	RDBECOLIPMC00009	dsbCp2		EXP-IEP-COREGULATION:W		W	16336047;31964733 
RDBECOLITUC00012	htrG-cca	RDBECOLIOPC00509	htrG-cca	ygiM;cca	RDBECOLIPMC00010	ygiMp2		EXP-IEP-COREGULATION:W		W	16336047 
RDBECOLITUC00013	qseBC	RDBECOLIOPC01132	qseBC	qseB;qseC	RDBECOLIPMC00011	qseBp1		EXP-IEP-COREGULATION:W		W	11929534;16194231 
RDBECOLITUC00014	dolP	RDBECOLIOPC02765	dolP	dolP	RDBECOLIPMC00012	dolPp2		EXP-IDA-BOUNDARIES-DEFINED:W		W	16336047 
RDBECOLITUC00015	greA	RDBECOLIOPC01073	greA	greA	RDBECOLIPMC00013	greAp2	RDBECOLITMC00100	EXP-IDA-BOUNDARIES-DEFINED:W		W	16336047;20008510 
RDBECOLITUC00016	lptB-rpoN-hpf-ptsN-yhbJ	RDBECOLIOPC02875	lptAB-rpoN-hpf-ptsN-rapZ-npr	lptB;rpoN;hpf;ptsN;rapZ	RDBECOLIPMC00014	lptBp		EXP-IEP-COREGULATION:W		W	16336047;21272324 
RDBECOLITUC00017	yecR	RDBECOLIOPC00372	yecR	yecR	RDBECOLIPMC00017	yecRp				None	 
RDBECOLITUC00018	yejO	RDBECOLIOPC00002	yejO	yejO	RDBECOLIPMC00018	yejOp				None	 
RDBECOLITUC00019	flhBAE	RDBECOLIOPC00349	flhBAE	flhE;flhA;flhB	RDBECOLIPMC00019	flhBp		EXP-IEP-COREGULATION:W		W	31271063;7961507 
RDBECOLITUC00020	rne	RDBECOLIOPC02837	rne	rne	RDBECOLIPMC03024	rnep1		EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S;COMP-AINF-SINGLE-DIRECTON:W		S	11849544 
RDBECOLITUC00021	fliE	RDBECOLIOPC02886	fliE	fliE	RDBECOLIPMC00021	fliEp1		COMP-AINF-SINGLE-DIRECTON:W		W	15941987;31271063 
RDBECOLITUC00022	fliFGHIJK	RDBECOLIOPC02208	fliFGHIJK	fliF;fliG;fliH;fliI;fliJ;fliK	RDBECOLIPMC00022	fliFp1				None	31271063 
RDBECOLITUC00023	gltIJKL-sroC	RDBECOLIOPC02778	gltI-sroC-gltJKL	gltL;gltK;gltJ;sroC;gltI	RDBECOLIPMC00023	gltIp1				None	32571968 
RDBECOLITUC00024	malQ	RDBECOLIOPC02889	malPQ	malQ	RDBECOLIPMC00024	malQp		EXP-IDA-BOUNDARIES-DEFINED:W		W	 
RDBECOLITUC00025	yhjJ	RDBECOLIOPC01582	yhjJ	bipP	RDBECOLIPMC00025	yhjJp		EXP-IDA-BOUNDARIES-DEFINED:W		W	 
RDBECOLITUC00026	yieEF	RDBECOLIOPC00542	yieEF	yieE;yieF	RDBECOLIPMC00026	yieEp		EXP-IEP-COREGULATION:W;COMP-AINF:W		W	21398637 
RDBECOLITUC00027	plsB	RDBECOLIOPC02822	plsB	plsB	RDBECOLIPMC00027	plsBp1		EXP-IDA-BOUNDARIES-DEFINED:W		W	 
RDBECOLITUC00028	essD-ybcS-rzpD	RDBECOLIOPC02474	essD-ybcS-rzpD	essD;rrrD;rzpD	RDBECOLIPMC00028	essDp		COMP-AINF:W		W	 
RDBECOLITUC00029	rutR	RDBECOLIOPC00854	rutR	rutR	RDBECOLIPMC00029	rutRp1		EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S;EXP-IDA-BOUNDARIES-DEFINED:W		S	17919280 
RDBECOLITUC00030	narWV	RDBECOLIOPC02708	narUZYWV	narV;narW	RDBECOLIPMC00030	narWp				None	 
RDBECOLITUC00031	ydhIJK	RDBECOLIOPC00978	ydhIJK	ydhI;ydhJ;ydhK	RDBECOLIPMC00031	ydhIp		EXP-IDA-BOUNDARIES-DEFINED:W		W	 
