Entry	Entry Name	Gene Names	Protein names	Gene Ontology IDs
A5A616	MGTS_ECOLI	mgtS yneM b4599 JW1527.1	Small protein MgtS	GO:0005886; GO:0010350; GO:0010960
O32583	THIS_ECOLI	thiS thiG1 b4407 JW3955	Sulfur carrier protein ThiS (Thiamine biosynthesis protein ThiS)	GO:0000166; GO:0009228; GO:0009229; GO:0052837; GO:0097163; GO:1902503; GO:1990228
P00350	6PGD_ECOLI	gnd b2029 JW2011	6-phosphogluconate dehydrogenase, decarboxylating (EC 1.1.1.44)	GO:0004616; GO:0005829; GO:0006098; GO:0009051; GO:0019521; GO:0042802; GO:0042803; GO:0050661; GO:0097216
P00363	FRDA_ECOLI	frdA b4154 JW4115	Fumarate reductase flavoprotein subunit (EC 1.3.5.1) (Quinol-fumarate reductase flavoprotein subunit) (QFR flavoprotein subunit)	GO:0000104; GO:0005829; GO:0005886; GO:0006113; GO:0006974; GO:0008177; GO:0009055; GO:0009061; GO:0016020; GO:0019645; GO:0044780; GO:0045283; GO:0050660; GO:0071949
P00370	DHE4_ECOLI	gdhA b1761 JW1750	NADP-specific glutamate dehydrogenase (NADP-GDH) (EC 1.4.1.4)	GO:0004354; GO:0005737; GO:0005829; GO:0006536; GO:0006537; GO:0042802; GO:0097216; GO:1990148
P00393	NDH_ECOLI	ndh b1109 JW1095	Type II NADH:quinone oxidoreductase (EC 1.6.5.9) (Cupric reductase) (EC 1.16.1.-) (NADH dehydrogenase-2) (NADH dh II) (NDH-2) (NADH-quinone reductase) (NQR) (NADH:ubiquinone oxidoreductase) (Respiratory NADH dehydrogenase)	GO:0005886; GO:0008137; GO:0008823; GO:0009060; GO:0009061; GO:0019646; GO:0030964; GO:0050660; GO:0055070; GO:0120555
P00448	SODM_ECOLI	sodA b3908 JW3879	Superoxide dismutase [Mn] (EC 1.15.1.1) (MnSOD)	GO:0003677; GO:0004784; GO:0005737; GO:0005829; GO:0006801; GO:0006979; GO:0009408; GO:0010447; GO:0016209; GO:0019430; GO:0030145; GO:0042803; GO:0046872; GO:0071291
P00452	RIR1_ECOLI	nrdA dnaF b2234 JW2228	Ribonucleoside-diphosphate reductase 1 subunit alpha (EC 1.17.4.1) (Protein B1) (Ribonucleoside-diphosphate reductase 1 R1 subunit) (Ribonucleotide reductase 1)	GO:0004748; GO:0005524; GO:0005829; GO:0005971; GO:0009185; GO:0009263; GO:0009265; GO:0015949; GO:0042802; GO:0044183
P00490	PHSM_ECOLI	malP b3417 JW5689	Maltodextrin phosphorylase (EC 2.4.1.1)	GO:0005737; GO:0005829; GO:0005980; GO:0008184; GO:0030170; GO:0030980; GO:0031220; GO:0042803
P00509	AAT_ECOLI	aspC b0928 JW0911	Aspartate aminotransferase (AspAT) (EC 2.6.1.1) (Transaminase A)	GO:0004069; GO:0004838; GO:0005737; GO:0005829; GO:0009094; GO:0030170; GO:0033585; GO:0042802; GO:0042803
P00550	PTM3C_ECOLI	mtlA b3599 JW3573	PTS system mannitol-specific EIICBA component (EIICBA-Mtl) (EII-Mtl) [Includes: Mannitol permease IIC component (PTS system mannitol-specific EIIC component); Mannitol-specific phosphotransferase enzyme IIB component (EC 2.7.1.197) (PTS system mannitol-specific EIIB component); Mannitol-specific phosphotransferase enzyme IIA component (PTS system mannitol-specific EIIA component)]	GO:0005886; GO:0009401; GO:0015795; GO:0015797; GO:0016301; GO:0022872; GO:0090563; GO:0090565
P00561	AK1H_ECOLI	thrA thrA1 thrA2 b0002 JW0001	Bifunctional aspartokinase/homoserine dehydrogenase 1 (Aspartokinase I/homoserine dehydrogenase I) (AKI-HDI) [Includes: Aspartokinase (EC 2.7.2.4); Homoserine dehydrogenase (EC 1.1.1.3)]	GO:0004072; GO:0004412; GO:0005524; GO:0009086; GO:0009088; GO:0009089; GO:0009090; GO:0042802; GO:0046872; GO:0050661; GO:0051289; GO:0070403
