entity_id,entity_type,name,aliases,default_state,allowed_states,annotation,pathways,subcellular_location,source_database,source_id,external_ids,is_external,complex_type,is_virtual,components,critical_components,assembly_condition,notes
gene.b0001,gene,thrL,b0001|thrL|thrL,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0001,"Dbxref:ASAP:ABE-0000006,ECOCYC:EG11277,GeneID:944742|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:190-255:+; feature_type=gene
gene.b0002,gene,thrA,b0002|thrA|thrA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0002,"Dbxref:ASAP:ABE-0000008,ECOCYC:EG10998,GeneID:945803|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:337-2799:+; feature_type=gene
gene.b0003,gene,thrB,b0003|thrB|thrB,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0003,"Dbxref:ASAP:ABE-0000010,ECOCYC:EG10999,GeneID:947498|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:2801-3733:+; feature_type=gene
gene.b0004,gene,thrC,b0004|thrC|thrC,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0004,"Dbxref:ASAP:ABE-0000012,ECOCYC:EG11000,GeneID:945198|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:3734-5020:+; feature_type=gene
gene.b0005,gene,yaaX,b0005|yaaX|yaaX,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0005,"Dbxref:ASAP:ABE-0000015,ECOCYC:G6081,GeneID:944747|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:5234-5530:+; feature_type=gene
gene.b0006,gene,yaaA,b0006|yaaA|yaaA,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0006,"Dbxref:ASAP:ABE-0000018,ECOCYC:EG10011,GeneID:944749|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:5683-6459:-; feature_type=gene
gene.b0007,gene,yaaJ,b0007|yaaJ|yaaJ,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0007,"Dbxref:ASAP:ABE-0000020,ECOCYC:EG11555,GeneID:944745|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:6529-7959:-; feature_type=gene
gene.b0008,gene,talB,b0008|talB|talB,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0008,"Dbxref:ASAP:ABE-0000027,ECOCYC:EG11556,GeneID:944748|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:8238-9191:+; feature_type=gene
gene.b0009,gene,mog,b0009|mog|mog,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0009,"Dbxref:ASAP:ABE-0000030,ECOCYC:EG11511,GeneID:944760|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:9306-9893:+; feature_type=gene
gene.b0010,gene,satP,b0010|satP|satP,expressed,expressed|repressed|knocked_out|mutated|overexpressed,NCBI RefSeq gene feature,,cytosol,NCBI RefSeq,gene-b0010,"Dbxref:ASAP:ABE-0000032,ECOCYC:EG11512,GeneID:944792|gbkey:Gene|gene_biotype:protein_coding",false,,,,,,NC_000913.3:9928-10494:-; feature_type=gene
