# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) tuId. Transcription Unit identifier assigned by RegulonDB
## (2) tuName. Transcription unit name 
## (3) operonId. Operon id containing the transcription uni 
## (4) operonName. Operon name containing the transcription unit
## (5) tuGenesIds. Ids of the gene(s) contained in the transcription unit
## (6) tuGenesNames. Names of the gene(s) contained in the transcription unit
## (7) promoterId. Promoter Id
## (8) promoterName. Promoter Name
## (9) promoterPos. Transcription start site of promoter(10) terminatorIds. Ids of the terminators associated to transcription unit
##(11) sigmaFactor. Sigma Factor associated to 
##(12) tfsIds. transcription Factors ids that regulates the transcription Unit
##(13) tfsNames. transcription Factors names that regulates the transcription Unit
##(14) tuGenesBnumber. bnumbers of the tu genes
##(15) firstGenePos. start position of the first tu gene
##(16) lastGenePos. end position of the first tu gene
##(17) terminatorPositions. positions of the terminator
##(18) DBXRef. id of the TU in Ecocyc
##
1)tuId	2)tuName	3)operonId	4)operonName	5)tuGenesIds	6)tuGenesNames	7)promoterId	8)promoterName	9)promoterPos	10)terminatorIds	11)sigmaFactor	12)tfsIds	13)tfsNames	14)tuGenesBnumber	15)firstGenePos	16)lastGenePos	17)terminatorPositions	18)DBXRef 
RDBECOLITUC00001	spy	RDBECOLIOPC01548	spy	RDBECOLIGNC03824	spy	RDBECOLIPMC00001	spyp	1825688	RDBECOLITMC00026	sigma70	RDBECOLITFC00043,RDBECOLITFC00111,RDBECOLITFC00111	CpxR,BaeR,BaeR	b1743	1825625	1825140	1825057-1825126	Ecocyc:TU-8381 
RDBECOLITUC00002	ycaC	RDBECOLIOPC00049	ycaC	RDBECOLIGNC01217	ycaC						RDBECOLITFC00111,RDBECOLITFC00160,RDBECOLITFC00104	BaeR,FNR,Nac	b0897	945557	944931		Ecocyc:TU-8382 
RDBECOLITUC00003	yfeKS	RDBECOLIOPC00103	yfeKS	RDBECOLIGNC04124,RDBECOLIGNC04123	yfeS|yfeK	RDBECOLIPMC00002	yfeKp	2537315		sigma24			b2420|b2419	2537342	2538483		Ecocyc:TU-8383 
RDBECOLITUC00004	bepA-yfgD	RDBECOLIOPC02654	bepA-yfgD	RDBECOLIGNC04173,RDBECOLIGNC04172	yfgD|bepA	RDBECOLIPMC00003	bepAp1	2616068		sigma24			b2495|b2494	2616094	2617937		Ecocyc:TU-8384 
RDBECOLITUC00005	bamB-der	RDBECOLIOPC00342	bamB-der	RDBECOLIGNC04180,RDBECOLIGNC04181	der|bamB	RDBECOLIPMC00004	bamBp	2638975		sigma24			b2511|b2512	2638652	2635884		Ecocyc:TU-8385 
RDBECOLITUC00006	qseBC	RDBECOLIOPC01132	qseBC	RDBECOLIGNC02343,RDBECOLIGNC04414	qseC|qseB	RDBECOLIPMC01878	qseBp2	3169749			RDBECOLITFC00138,RDBECOLITFC00085,RDBECOLITFC00085	BasR,QseB,QseB	b3026|b3025	3169828	3171833		Ecocyc:TU-8387 
RDBECOLITUC00007	recC	RDBECOLIOPC02411	ppdAB-ygdB-ppdC-recC	RDBECOLIGNC00815	recC	RDBECOLIPMC00005	recCp	2962507		sigma70			b2822	2962428	2959060		Ecocyc:TU-8388 
RDBECOLITUC00008	infA	RDBECOLIOPC02892	infA-serW	RDBECOLIGNC00496	infA	RDBECOLIPMC00006	infAp2	926479	RDBECOLITMC00323	sigma70			b0884	926443	926225	926162-926186	Ecocyc:TU-8389 
RDBECOLITUC00009	infA	RDBECOLIOPC02892	infA-serW	RDBECOLIGNC00496	infA	RDBECOLIPMC00007	infAp1	926685	RDBECOLITMC00323	sigma70			b0884	926443	926225	926162-926186	Ecocyc:TU-8390 
RDBECOLITUC00010	bamD	RDBECOLIOPC02078	bamD	RDBECOLIGNC04210	bamD	RDBECOLIPMC00008	bamDp2	2735961		sigma24			b2595	2736146	2736883		Ecocyc:TU-8391 
RDBECOLITUC00011	dsbC-recJ-prfB	RDBECOLIOPC02785	dsbC-recJ-prfB	RDBECOLIGNC00752,RDBECOLIGNC00820,RDBECOLIGNC01058	prfB|recJ|dsbC	RDBECOLIPMC00009	dsbCp2	3039633		sigma24			b2891|b2892|b2893	3038822	3035184		Ecocyc:TU-8392 
RDBECOLITUC00012	htrG-cca	RDBECOLIOPC00509	htrG-cca	RDBECOLIGNC00132,RDBECOLIGNC02284	cca|ygiM	RDBECOLIPMC00010	ygiMp2	3201042		sigma24			b3056|b3055	3201207	3203129		Ecocyc:TU-8393 
RDBECOLITUC00013	qseBC	RDBECOLIOPC01132	qseBC	RDBECOLIGNC02343,RDBECOLIGNC04414	qseC|qseB	RDBECOLIPMC00011	qseBp1	3169801		sigma70			b3026|b3025	3169828	3171833		Ecocyc:TU-8394 
RDBECOLITUC00014	dolP	RDBECOLIOPC02765	dolP	RDBECOLIGNC04475	dolP	RDBECOLIPMC00012	dolPp2	3296072		sigma24			b3150	3296409	3296984		Ecocyc:TU-8396 
RDBECOLITUC00015	greA	RDBECOLIOPC01073	greA	RDBECOLIGNC00408	greA	RDBECOLIPMC00013	greAp2	3328853	RDBECOLITMC00100	sigma24			b3181	3328715	3328239	3328806-3328846	Ecocyc:TU-8397 
RDBECOLITUC00016	lptB-rpoN-hpf-ptsN-yhbJ	RDBECOLIOPC02875	lptAB-rpoN-hpf-ptsN-rapZ-npr	RDBECOLIGNC02041,RDBECOLIGNC01623,RDBECOLIGNC01622,RDBECOLIGNC00888,RDBECOLIGNC01621	rapZ|ptsN|hpf|rpoN|lptB	RDBECOLIPMC00014	lptBp	3343396		sigma24			b3205|b3204|b3203|b3202|b3201	3343944	3347969		Ecocyc:TU-8398 
RDBECOLITUC00017	yecR	RDBECOLIOPC00372	yecR	RDBECOLIGNC03918	yecR	RDBECOLIPMC00017	yecRp	1988200			RDBECOLITFC00160,RDBECOLITFC00218	FNR,FlhDC	b1904	1988222	1988545		Ecocyc:TU-8399 
RDBECOLITUC00018	yejO	RDBECOLIOPC00002	yejO	RDBECOLIGNC01960	yejO	RDBECOLIPMC00018	yejOp	2289176					b2190	2290180	2286390		Ecocyc:TU-8401 
