# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Gene identifier assigned by RegulonDB
## (2) Gene name
## (3) Blattner number (bnumber) of the gene
## (4) Gene left end position in the genome
## (5) Gene right end position in the genome
## (6) DNA strand where the gene is coded
## (7) Product Id of the gene
## (8) Product name of the gene
## (9) Evidence that supports the existence of the gene
## (10) PMIDs list
## (11) Evidence confidence level (Confirmed, Strong, Weak)
## (12) All bnumber related to gene
## (13) Other database's id  related to gene
1)geneId	2)geneName	3)bnumber	4)leftEndPos	5)rightEndPos	6)strand	7)productId	8)productName	9)geneEvidences	10)genePMIDS	11)confidenceLevel	12)relatedBnumbers	13)otherDbsIds 
RDBECOLIGNC00001	alr	b4053	4265782	4266861	forward	RDBECOLIPDC00061	alanine racemase 1			None		[ASKA:ECK4045+b4053+JW4013+alr][KEIO:ECK4045+b4053+JW4013+alr][STRING:511145.b4053][ASAP:ABE-0013272][ECHOBASE:EB0001][OU-MICROARRAY:b4053][CGSC:1034][ECOCYC:EG10001][REFSEQ:b4053] 
RDBECOLIGNC00002	modB	b0764	795862	796551	forward	RDBECOLIPDC03511	molybdate ABC transporter membrane subunit			None		[ASKA:ECK0753+b0764+JW0747+modB][KEIO:ECK0753+b0764+JW0747+modB][STRING:511145.b0764][ASAP:ABE-0002603][ECHOBASE:EB0002][OU-MICROARRAY:b0764][CGSC:18478][ECOCYC:EG10002][REFSEQ:b0764] 
RDBECOLIGNC00003	cysZ	b2413	2531463	2532224	forward	RDBECOLIPDC00374	sulfate:H<sup>+</sup> symporter			None		[ASKA:ECK2408+b2413+JW2406+cysZ][KEIO:ECK2408+b2413+JW2406+cysZ][STRING:511145.b2413][ASAP:ABE-0007953][ECHOBASE:EB0003][OU-MICROARRAY:b2413][ECOCYC:EG10003][REFSEQ:b2413] 
RDBECOLIGNC00004	dfp	b3639	3812731	3813951	forward	RDBECOLIPDC00375	fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase			None		[ASKA:ECK3629+b3639+JW5642+dfp][STRING:511145.b3639][ASAP:ABE-0011896][ECHOBASE:EB0004][OU-MICROARRAY:b3639][CGSC:18430][ECOCYC:EG10004][REFSEQ:b3639] 
RDBECOLIGNC00005	dcuB	b4123	4347404	4348744	reverse	RDBECOLIPDC00310	anaerobic C4-dicarboxylate transporter DcuB			None		[ASKA:ECK4116+b4123+JW4084+dcuB][KEIO:ECK4116+b4123+JW4084+dcuB][STRING:511145.b4123][ASAP:ABE-0013503][ECHOBASE:EB0006][OU-MICROARRAY:b4123][CGSC:34479][ECOCYC:EG10006][REFSEQ:b4123] 
RDBECOLIGNC00006	hisM	b2307	2424517	2425233	reverse	RDBECOLIPDC03373	lysine/arginine/ornithine ABC transporter / histidine ABC transporter, membrane subunit HisM			None		[ASKA:ECK2301+b2307+JW2304+hisM][KEIO:ECK2301+b2307+JW2304+hisM][STRING:511145.b2307][ASAP:ABE-0007613][ECHOBASE:EB0007][OU-MICROARRAY:b2307][CGSC:25879][ECOCYC:EG10007][REFSEQ:b2307] 
RDBECOLIGNC00007	zraS	b4003	4201926	4203323	forward	RDBECOLIPDC03400	sensor histidine kinase ZraS			None		[ASKA:ECK3995+b4003+JW3967+zraS][KEIO:ECK3995+b4003+JW3967+zraS][STRING:511145.b4003][ASAP:ABE-0013088][ECHOBASE:EB0008][OU-MICROARRAY:b4003][CGSC:34249][ECOCYC:EG10008][REFSEQ:b4003] 
RDBECOLIGNC00008	rhsE	b1456	1527890	1529938	forward	RDBECOLIPDC00376	RhsE protein in rhs element			None		[ASKA:ECK1450+b1456+JW1451+rhsE][KEIO:ECK1450+b1456+JW1451+rhsE][ASAP:ABE-0004858][STRING:316407.1742368][ECHOBASE:EB0010][OU-MICROARRAY:b1456][CGSC:33720][ECOCYC:EG10010][REFSEQ:b1456] 
RDBECOLIGNC00009	yaaA	b0006	5683	6459	reverse	RDBECOLIPDC00377	DNA binding and peroxide stress response protein YaaA			None		[ASKA:ECK0006+b0006+JW0005+yaaA][KEIO:ECK0006+b0006+JW0005+yaaA][STRING:511145.b0006][ASAP:ABE-0000018][ECHOBASE:EB0011][OU-MICROARRAY:b0006][ECOCYC:EG10011][REFSEQ:b0006] 
RDBECOLIGNC00010	cydC	b0886	927474	929195	reverse	RDBECOLIPDC00283	heme ABC transporter subunit CydC			None		[ASKA:ECK0877+b0886+JW0869+cydC][STRING:511145.b0886][ASAP:ABE-0003012][ECHOBASE:EB0012][OU-MICROARRAY:b0886][CGSC:17725][ECOCYC:EG10012][REFSEQ:b0886] 
RDBECOLIGNC00011	mepM	b1856	1940313	1941635	reverse	RDBECOLIPDC00378	peptidoglycan endopeptidase MepM			None		[ASKA:ECK1857+b1856+JW5304+yebA][KEIO:ECK1857+b1856+JW5304+yebA][STRING:511145.b1856][ASAP:ABE-0006189][ECHOBASE:EB0013][OU-MICROARRAY:b1856][ECOCYC:EG10013][REFSEQ:b1856] 
