# License
#	# RegulonDB is free for academic/noncommercial use
# User is not entitled to change or erase data sets of the RegulonDB
# database or to eliminate copyright notices from RegulonDB. Furthermore,
# User is not entitled to expand RegulonDB or to integrate RegulonDB partly
# or as a whole into other databank systems, without prior written consent
# from CCG-UNAM.
# Please check the license at https://regulondb.ccg.unam.mx/manual/aboutUs/terms-conditions
# Citation
#	# Heladia Salgado, Socorro Gama-Castro, et al., RegulonDB v12.0: a comprehensive resource of transcriptional regulation in E. coli K-12,
# Nucleic Acids Research, 2023;, gkad1072, https://doi.org/10.1093/nar/gkad1072
# RegulonDB Release: 14.5
# Contact
#	email:regulondb@ccg.unam.mx
#Date:
#	06-02-2026
## Columns:
## (1) Operon ID
#(2) Operon name
## (3) First gene-position left
## (4) Last gene-position right
## (5) DNA strand where the operon is coded
## (6) Number of genes contained in the operon
## (7) Name or Blattner number of the gene(s) contained in the operon
## (8) Evidence that support the existence of the operon's TUs
## (9) Evidence confidence level (Confirmed, Strong, Weak)
1)operonId	2)operonName	3)firstGeneLeftPos	4)lastGeneRightPos	5)strand	6)numberOfGenes	7)operonGenes	8)operonEvidence	9)confidenceLevel 
RDBECOLIOPC00001	pheLA	2737599	2738905	forward	2	pheL|pheA	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S]	S 
RDBECOLIOPC00002	yejO	2286390	2290180	reverse	1	yejO		 
RDBECOLIOPC00003	ybcLM	570893	572251	forward	2	ybcL|ybcM	[COMP-AINF:W]	W 
RDBECOLIOPC00004	yqfB	3043312	3043623	reverse	1	yqfB	[COMP-AINF:W]	W 
RDBECOLIOPC00005	atoDAEB	2323447	2327293	forward	4	atoD|atoA|atoE|atoB		 
RDBECOLIOPC00006	mscL	3438024	3438434	forward	1	mscL	[EXP-IDA-TRANSCRIPT-LEN-DETERMINATION:S][COMP-AINF:W]	W 
RDBECOLIOPC00007	tmaR	2079032	2079361	reverse	1	tmaR	[COMP-AINF:W]	W 
RDBECOLIOPC00008	pdxI	1474221	1475081	forward	1	pdxI	[COMP-AINF:W]	W 
RDBECOLIOPC00009	treF	3669592	3671241	forward	1	treF	[EXP-IEP:W][COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00010	ubiF	695101	696276	forward	1	ubiF	[COMP-AINF-SINGLE-DIRECTON:W]	W 
RDBECOLIOPC00011	ycaR-kdsB	970673	971598	forward	2	ycaR|kdsB	[COMP-AINF:W]	W 
